base	eval	sensor	source
0.2208	0.1447	0.153175	0.1245
0.17595	0.1762	0.127325	0.151775
0.1536	0.11285	0.15745	0.14715
0.1421	0.13345	0.11915	0.12225
0.1421	0.1654	0.124625	0.133925
0.1726	0.13815	0.15075	0.1321
0.18525	0.12005	0.152425	0.141025
0.14445	0.10035	0.153825	0.13085
0.159905	0.1018	0.113575	0.117675
0.1461	0.10860	0.117425	0.102825
0.1488	0.14865	0.108842	0.10414775
0	0	0.110107	0.09562
0	0	0.117465	0.082433
0	0	0.12751	0.09514725
0	0	0.169533333	0.140125
0	0	0.1443	0.134166667
0	0	0.101159	0.10749225
0	0	0.1610175	0.1143705
0	0	0.1367	0.108566667
0	0	0.129225	0.117225
0	0	0.13425	0.115125
0	0	0.112725	0.09335
0	0	0.1351	0.141325
0	0	0.12683925	0.11350875
0	0	0.13145	0.14845
0	0	0.1598	0.1216
0	0	0.1481	0.123275
0	0	0.135075	0.127675
0	0	0.14815	0.114775
0	0	0.114075	0.1403
0	0	0.138975	0.093925
0	0	0.138425	0.105775
0	0	0.109525	0.093175
0	0	0.11565	0.130575
0	0	0.1167	0.1044
0	0	0.0989	0.0795
0	0	0.164375	0.139775
0	0	0.125625	0.13375
0	0	0.108475	0.153075
0	0	0.130025	0.1454
0	0	0.131375	0.13435
0	0	0.15895	0.141225
0	0	0.114975	0.098475
0	0	0.100525	0.1038
0	0	0.110175	0.139325
