subjid	paradigm	cond	time	pair	pair2	var
1	cp	cp	base	1	1	10.57
1	cp	cp	eval	2	2	17.11
1	dt	cp	base	3	3	23.66
1	dt	cp	eval	4	4	31.81
2	cp	cp	base	1	1	13.84
2	cp	cp	eval	2	2	11.76
2	dt	cp	base	3	3	12.93
2	dt	cp	eval	4	4	14.73
3	cp	cp	base	1	1	13.69
3	cp	cp	eval	2	2	13.23
3	dt	cp	base	3	3	13.35
3	dt	cp	eval	4	4	11.94
4	cp	cp	base	1	1	9.18
4	cp	cp	eval	2	2	1.87
4	dt	cp	base	3	3	14.37
4	dt	cp	eval	4	4	20.23
5	cp	cp	base	1	1	23.33
5	cp	cp	eval	2	2	11.51
5	dt	cp	base	3	3	34.8
5	dt	cp	eval	4	4	23.03
6	cp	cp	base	1	1	11.02
6	cp	cp	eval	2	2	12.92
6	dt	cp	base	3	3	18.1
6	dt	cp	eval	4	4	15.04
7	cp	cp	base	1	1	14.47
7	cp	cp	eval	2	2	0.63
7	dt	cp	base	3	3	11.28
7	dt	cp	eval	4	4	20.42
8	cp	cp	base	1	1	25.36
8	cp	cp	eval	2	2	18.67
8	dt	cp	base	3	3	14.43
8	dt	cp	eval	4	4	10.76
9	cp	cp	base	1	1	13.84
9	cp	cp	eval	2	2	13.07
9	dt	cp	base	3	3	20.35
9	dt	cp	eval	4	4	17.98
10	cp	cp	base	1	1	17.58
10	cp	cp	eval	2	2	27.99
10	dt	cp	base	3	3	13.03
10	dt	cp	eval	4	4	18.24
11	cp	cp	base	1	1	14.31
11	cp	cp	eval	2	2	10.42
11	dt	cp	base	3	3	14.91
11	dt	cp	eval	4	4	17.06
12	cp	dt	base	5	1	10.73
12	cp	dt	eval	6	2	9.49
12	dt	dt	base	7	3	11.45
12	dt	dt	eval	8	4	17.1
13	cp	dt	base	5	1	9.02
13	cp	dt	eval	6	2	5.6
13	dt	dt	base	7	3	9.27
13	dt	dt	eval	8	4	16.4
14	cp	dt	base	5	1	14.38
14	cp	dt	eval	6	2	22.7
14	dt	dt	base	7	3	10.8
14	dt	dt	eval	8	4	6.8
15	cp	dt	base	5	1	11.36
15	cp	dt	eval	6	2	9.18
15	dt	dt	base	7	3	16.83
15	dt	dt	eval	8	4	20.59
16	cp	dt	base	5	1	6.53
16	cp	dt	eval	6	2	0.93
16	dt	dt	base	7	3	11.31
16	dt	dt	eval	8	4	17.21
17	cp	dt	base	5	1	12.92
17	cp	dt	eval	6	2	17.12
17	dt	dt	base	7	3	5.34
17	dt	dt	eval	8	4	9.97
18	cp	dt	base	5	1	18.0391
18	cp	dt	eval	6	2	14.32
18	dt	dt	base	7	3	25.5505
18	dt	dt	eval	8	4	30.24
19	cp	dt	base	5	1	14
19	cp	dt	eval	6	2	10.27
19	dt	dt	base	7	3	12.88
19	dt	dt	eval	8	4	17.39
20	cp	dt	base	5	1	14.47
20	cp	dt	eval	6	2	19.29
20	dt	dt	base	7	3	16.45
20	dt	dt	eval	8	4	25.17
21	cp	dt	base	5	1	8.55
21	cp	dt	eval	6	2	16.95
21	dt	dt	base	7	3	12.83
21	dt	dt	eval	8	4	14.45
22	cp	dt	base	5	1	15.56
22	cp	dt	eval	6	2	19.13
22	dt	dt	base	7	3	10.16
22	dt	dt	eval	8	4	8.17





