subjid	paradigm	cond	time	pair	pair2	var
1	cp	cp	base	1	1	0.0049
1	cp	cp	eval	2	2	0.0075
1	dt	cp	base	3	3	0.0097
1	dt	cp	eval	4	4	0.0137
2	cp	cp	base	1	1	0.0034
2	cp	cp	eval	2	2	0.0024
2	dt	cp	base	3	3	0.0038
2	dt	cp	eval	4	4	0.0025
3	cp	cp	base	1	1	0.0074
3	cp	cp	eval	2	2	0.0093
3	dt	cp	base	3	3	0.008
3	dt	cp	eval	4	4	0.0102
4	cp	cp	base	1	1	0.0019
4	cp	cp	eval	2	2	0.00064
4	dt	cp	base	3	3	0.0027
4	dt	cp	eval	4	4	0.0041
5	cp	cp	base	1	1	0.011
5	cp	cp	eval	2	2	0.0038
5	dt	cp	base	3	3	0.0131
5	dt	cp	eval	4	4	0.0077
6	cp	cp	base	1	1	0.0033
6	cp	cp	eval	2	2	0.0057
6	dt	cp	base	3	3	0.0053
6	dt	cp	eval	4	4	0.0065
7	cp	cp	base	1	1	0.0038
7	cp	cp	eval	2	2	0.00085
7	dt	cp	base	3	3	0.0031
7	dt	cp	eval	4	4	0.0039
8	cp	cp	base	1	1	0.0078
8	cp	cp	eval	2	2	0.0055
8	dt	cp	base	3	3	0.0055
8	dt	cp	eval	4	4	0.003
9	cp	cp	base	1	1	0.0275
9	cp	cp	eval	2	2	0.0246
9	dt	cp	base	3	3	0.0311
9	dt	cp	eval	4	4	0.0357
10	cp	cp	base	1	1	0.0077
10	cp	cp	eval	2	2	0.0369
10	dt	cp	base	3	3	0.0067
10	dt	cp	eval	4	4	0.0241
11	cp	cp	base	1	1	0.0063
11	cp	cp	eval	2	2	0.0033
11	dt	cp	base	3	3	0.0063
11	dt	cp	eval	4	4	0.0041
12	cp	dt	base	5	1	0.0012
12	cp	dt	eval	6	2	0.0018
12	dt	dt	base	7	3	0.0011
12	dt	dt	eval	8	4	0.0026
13	cp	dt	base	5	1	0.0017
13	cp	dt	eval	6	2	0.0012
13	dt	dt	base	7	3	0.0022
13	dt	dt	eval	8	4	0.0024
14	cp	dt	base	5	1	0.0015
14	cp	dt	eval	6	2	0.0015
14	dt	dt	base	7	3	0.0014
14	dt	dt	eval	8	4	0.00066
15	cp	dt	base	5	1	0.0054
15	cp	dt	eval	6	2	0.0065
15	dt	dt	base	7	3	0.0088
15	dt	dt	eval	8	4	0.014
16	cp	dt	base	5	1	0.0025
16	cp	dt	eval	6	2	0.0062
16	dt	dt	base	7	3	0.0036
16	dt	dt	eval	8	4	0.0281
17	cp	dt	base	5	1	0.0027
17	cp	dt	eval	6	2	0.0034
17	dt	dt	base	7	3	0.0023
17	dt	dt	eval	8	4	0.0025
18	cp	dt	base	5	1	0.0055
18	cp	dt	eval	6	2	0.0173
18	dt	dt	base	7	3	0.0093
18	dt	dt	eval	8	4	0.0354
19	cp	dt	base	5	1	0.0108
19	cp	dt	eval	6	2	0.0097
19	dt	dt	base	7	3	0.0096
19	dt	dt	eval	8	4	0.0134
20	cp	dt	base	5	1	0.0016
20	cp	dt	eval	6	2	0.015
20	dt	dt	base	7	3	0.002
20	dt	dt	eval	8	4	0.0203
21	cp	dt	base	5	1	0.0019
21	cp	dt	eval	6	2	0.0098
21	dt	dt	base	7	3	0.0025
21	dt	dt	eval	8	4	0.009
22	cp	dt	base	5	1	0.00123
22	cp	dt	eval	6	2	0.0057
22	dt	dt	base	7	3	0.0088
22	dt	dt	eval	8	4	0.0029
