subjid	cond	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	sensor	0.138225	0.0967	0.060875	0.0565	0.04595	0.0433	0.03385	0.04525	0.038775	0.038125	0.03695	0.033875	0.02785	0.03255	0.0316	0.03485	0.046575	0.033075	0.0464	0.03355	0.045275
2	sensor	0.247325	0.169375	0.092075	0.0485	0.0592	0.03905	0.042475	0.043925	0.044575	0.036925	0.029125	0.02375	0.019025	0.0174	0.01465	0.0101	0.00815	0.008325	0.00995	0.013	0.0231
3	sensor	0.2688	0.132375	0.080575	0.054525	0.0485	0.049325	0.035675	0.032075	0.04085	0.034675	0.037125	0.039575	0.0267	0.01955	0.012725	0.014825	0.014	0.01855	0.017575	0.009925	0.01205
4	sensor	0.248525	0.170925	0.0773	0.058775	0.06365	0.05275	0.04105	0.0443	0.031925	0.026725	0.020375	0.018875	0.01415	0.011225	0.01775	0.012375	0.014325	0.014325	0.01675	0.01825	0.025725
5	sensor	0.254366667	0.167766667	0.103733333	0.089233333	0.056433333	0.056433333	0.0473	0.015833333	0.023033333	0.029733333	0.024733333	0.022333333	0.0211	0.015166667	0.012366667	0.005466667	0.005866667	0.0089	0.011066667	0.009333333	0.019733333
6	sensor	0.159466667	0.1204	0.086133333	0.064666667	0.0523	0.0354	0.0395	0.0458	0.0267	0.025633333	0.0217	0.0354	0.0345	0.031266667	0.034033333	0.019333333	0.029966667	0.028	0.033633333	0.037533333	0.038833333
7	sensor	0.293333333	0.151466667	0.074433333	0.0655	0.039466667	0.028466667	0.029333333	0.0208	0.027566667	0.023233333	0.032533333	0.0256	0.026466667	0.0239	0.021266667	0.019733333	0.017333333	0.0152	0.018233333	0.017166667	0.029066667
8	sensor	0.2098	0.138	0.105	0.0737	0.069825	0.05405	0.041675	0.036775	0.029625	0.027375	0.02165	0.02295	0.01545	0.01725	0.01855	0.0184	0.015625	0.020675	0.0202	0.02165	0.0218
9	sensor	0.12355	0.1159	0.073725	0.0563	0.058125	0.05095	0.045075	0.0394	0.0358	0.04425	0.046075	0.03255	0.0324	0.036125	0.04165	0.035325	0.0327	0.026675	0.026025	0.021	0.02655
10	sensor	0.12845	0.135475	0.09375	0.09185	0.08875	0.0474	0.046725	0.04675	0.042	0.037625	0.038925	0.039725	0.031075	0.0259	0.018075	0.0179	0.01825	0.0179	0.01515	0.00735	0.011075
