subjid	cond	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	sensor	0.164825	0.0996	0.064275	0.057925	0.0594	0.05355	0.05435	0.039875	0.034175	0.033375	0.034525	0.03565	0.0384	0.0278	0.027325	0.026525	0.02065	0.0254	0.030275	0.02785	0.04425
2	sensor	0.166325	0.09795	0.068525	0.06445	0.049775	0.043275	0.03905	0.04525	0.044575	0.043125	0.03155	0.03385	0.0389	0.036125	0.0319	0.0223	0.025875	0.02685	0.04085	0.02295	0.026375
3	sensor	0.191025	0.10725	0.069975	0.0648	0.0456	0.05045	0.03695	0.03025	0.027675	0.031575	0.033375	0.0345	0.02525	0.02605	0.025225	0.03545	0.0353	0.033525	0.031075	0.027175	0.03745
4	sensor	0.259825	0.1693	0.11705	0.0749	0.0547	0.051275	0.038575	0.028	0.030275	0.0228	0.02215	0.018225	0.0119	0.01435	0.01465	0.01125	0.011075	0.0096	0.009125	0.0106	0.020525
5	sensor	0.188275	0.1149	0.07745	0.06885	0.0555	0.0516	0.053525	0.04215	0.035775	0.035325	0.031075	0.026025	0.023575	0.026225	0.02635	0.0228	0.0228	0.022625	0.02895	0.019675	0.0265
6	sensor	0.245175	0.17405	0.074075	0.04885	0.046575	0.039225	0.038275	0.04165	0.047875	0.037425	0.03045	0.024575	0.018225	0.0197	0.01645	0.01545	0.0189	0.01645	0.01725	0.013025	0.016275
7	sensor	0.223225	0.139975	0.1027	0.057975	0.0441	0.04165	0.050475	0.0363	0.028975	0.021975	0.022975	0.0254	0.0317	0.031225	0.02765	0.0218	0.020325	0.02	0.013375	0.015775	0.022475
8	sensor	0.1573	0.1317	0.079833333	0.060966667	0.037733333	0.0438	0.035566667	0.0176	0.028233333	0.0245	0.022366667	0.031666667	0.035566667	0.0447	0.0347	0.032966667	0.033433333	0.033833333	0.030166667	0.039066667	0.044266667
9	sensor	0.195975	0.13495	0.091975	0.0796	0.0591	0.0516	0.041825	0.028325	0.02685	0.0249	0.027325	0.0306	0.022925	0.021475	0.030125	0.02555	0.0182	0.026675	0.0254	0.01565	0.021
10	sensor	0.220425	0.116925	0.064625	0.04345	0.04935	0.053075	0.04885	0.043125	0.0371	0.025075	0.0306	0.029625	0.02555	0.021475	0.029625	0.028975	0.027675	0.02945	0.02445	0.0233	0.0272
11	sensor	0.20525	0.13005	0.09195	0.076675	0.05585	0.063625	0.052225	0.038425	0.037425	0.03385	0.029275	0.0272	0.0254	0.0161	0.02375	0.013525	0.01595	0.014675	0.014325	0.0166	0.0179
12	sensor	0.2291585	0.131643	0.09227	0.07534925	0.061028	0.0688405	0.04036375	0.0292925	0.028481425	0.0248965	0.0234305	0.02343125	0.0248935	0.0193604	0.020663175	0.014317525	0.016758625	0.014642625	0.0200135	0.0192	0.021965
13	sensor	0.15588325	0.10838225	0.07340475	0.0664025	0.06135225	0.05874825	0.0475215	0.0475155	0.04556625	0.04117275	0.03596425	0.02554975	0.02603775	0.026524	0.0304285	0.02733525	0.02733625	0.0240825	0.02392125	0.01985475	0.027015
1	source	0.16385	0.1245	0.0937	0.0737	0.063475	0.0568	0.04785	0.03955	0.032075	0.0376	0.0228	0.02325	0.0236	0.01415	0.0192	0.020975	0.023075	0.0306	0.0306	0.02815	0.03045
2	source	0.205175	0.14035	0.08435	0.05765	0.055525	0.04705	0.039225	0.034525	0.031275	0.022475	0.0202	0.022	0.01985	0.02265	0.02865	0.031425	0.031075	0.0259	0.025875	0.02315	0.031775
3	source	0.229775	0.159475	0.0879	0.06265	0.04995	0.062175	0.0527	0.031725	0.024075	0.0202	0.0179	0.024425	0.0171	0.022275	0.018375	0.01335	0.0145	0.020325	0.023425	0.021475	0.0262
4	source	0.211725	0.1541	0.104625	0.093725	0.08675	0.055	0.037425	0.033525	0.03955	0.03335	0.02455	0.020975	0.013175	0.016925	0.016775	0.013975	0.011575	0.01205	0.007825	0.005875	0.0065
5	source	0.139375	0.10745	0.09735	0.069225	0.0547	0.06515	0.06545	0.04835	0.045275	0.039425	0.028475	0.024225	0.031425	0.02475	0.020675	0.0228	0.022475	0.0254	0.023625	0.019525	0.024925
6	source	0.181875	0.16815	0.094575	0.0568	0.0518	0.03955	0.031725	0.04085	0.0394	0.032075	0.032725	0.03485	0.023925	0.023275	0.0236	0.0218	0.0223	0.0223	0.020025	0.020025	0.0184
7	source	0.2223	0.175433333	0.084433333	0.064033333	0.043	0.059266667	0.049066667	0.0302	0.025833333	0.026933333	0.023466667	0.0211	0.0178	0.023466667	0.021033333	0.018633333	0.020833333	0.018466667	0.0154	0.0176	0.021733333
