subjid	cond	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
1	sensor	0.0293	0.041	0.030925	0.0226	0.0122	0.025875	0.0288	0.0314	0.034	0.02765	0.022925	0.0267	0.036925	0.033525	0.0465	0.04635	0.04765	0.059375	0.0488	0.054175	0.047175	0.0392	0.033525	0.027825	0.021475	0.025875	0.017725	0.020025	0.013675	0.0119	0.009775	0.006375	0.007675	0.003575	0.00215	0.000825	0.0013	0.00065	0.001	0.0005	0.000325	0.000825
2	sensor	0.036475	0.0475	0.0433	0.04605	0.0392	0.039375	0.04135	0.036125	0.03695	0.034	0.0415	0.053225	0.054675	0.034975	0.030275	0.0332	0.033675	0.028825	0.030425	0.034175	0.043825	0.0298	0.014975	0.01335	0.01385	0.0127	0.0096	0.012025	0.010275	0.0096	0.007325	0.007325	0.0083	0.007825	0.00765	0.004575	0.00375	2.63E-03	0.000325	0.0031	0.00115	0.000825
3	sensor	0.04685	0.0788	0.05745	0.04935	0.04315	0.022475	0.027	0.013975	0.0184	0.029475	0.0192	0.024575	0.020175	0.0275	0.033375	0.023425	0.045075	0.042975	0.03125	0.030425	0.032875	0.037625	0.0267	0.02245	0.0202	0.027675	0.017425	0.015475	0.0161	0.016925	0.017075	0.016775	0.01545	0.008475	0.006375	0.005225	0.00555	0.00245	0.00065	0.001475	0.001475	0.000825
4	sensor	0.030925	0.075025	0.07175	0.068525	0.05955	0.05075	0.040675	0.038575	0.039225	0.031575	0.032375	0.037575	0.02555	0.03125	0.0285	0.032225	0.031425	0.027025	0.02375	0.026025	0.0319	0.025225	0.019525	0.013525	0.016125	0.013525	0.0114	0.008475	0.006375	0.005225	0.006225	0.006375	0.01025	0.004575	0.011075	0.0031	0.003925	0.000825	0.000325	0	0.00E+00	0
5	sensor	0.036475	0.066875	0.057625	0.050825	0.0469	0.041525	0.058275	0.035825	0.030125	0.023125	0.019875	0.0233	0.025075	0.03175	0.0324	0.02865	0.02995	0.0412	0.035175	0.0342	0.032225	0.039225	0.0197	0.020825	0.017575	0.012225	0.012375	0.0122	0.009125	0.009775	0.00995	0.00685	0.005875	0.006825	0.0062	0.0065	0.01025	0.005375	0.002925	0.001325	0.002775	0.000825
6	sensor	0.05905	0.09555	0.04235	0.0316	0.033825	0.02165	0.017575	0.0283	0.03235	0.03255	0.02815	0.050775	0.041175	0.0371	0.037725	0.03485	0.026225	0.02735	0.0262	0.028	0.027325	0.0275	0.027975	0.018875	0.01675	0.0174	0.02035	0.01825	0.011075	0.0135	0.00865	0.00505	0.00765	0.0062	0.0062	0.0096	0.009775	0.006025	0.005225	0.003775	0.000175	0.0005
7	sensor	0.02085	0.024425	0.0407	0.037425	0.034175	0.037725	0.0394	0.035	0.03875	0.045275	0.0392	0.03645	0.040375	0.0324	0.035325	0.0521	0.048525	0.042825	0.0314	0.038725	0.03825	0.029975	0.028	0.0184	0.016425	0.0127	0.009125	0.012025	0.009775	0.010425	0.0065	0.007175	0.00635	0.006525	0.007975	0.00815	0.006825	0.00245	0.00325	0.005375	0.0026	0.000825
8	sensor	0.042	0.093775	0.0853	0.070175	0.035975	0.04785	0.037625	0.040075	0.027	0.0259	0.0272	0.030775	0.017725	0.020025	0.018875	0.0249	0.0267	0.02945	0.03125	0.0319	0.02995	0.031575	0.021325	0.01675	0.0158	0.011725	0.011075	0.013375	0.010925	0.013525	0.011725	0.011075	0.007	0.00555	0.007325	0.004725	0.003925	0.003275	0.00195	0.002275	0.00065	0.000175
9	sensor	0.036	0.0576	0.0558	0.0506	0.048975	0.04785	0.038225	0.0381	0.0296	0.0342	0.037775	0.034175	0.03545	0.0337	0.043475	0.03415	0.032725	0.030275	0.042475	0.0381	0.0335	0.026025	0.022125	0.014975	0.0114	0.007825	0.011075	0.009625	0.009425	0.00555	0.00375	0.0044	0.007975	0.011225	0.004425	0.0052	0.003925	0.003275	0.0036	0.00085	0.000825	0
10	sensor	0.01775	0.028975	0.040375	0.0475	0.0389	0.04115	0.039375	0.038225	0.02815	0.0228	0.030775	0.040375	0.03955	0.0415	0.0475	0.043275	0.045075	0.03775	0.03695	0.036925	0.034175	0.04115	0.033525	0.022775	0.018075	0.0153	0.018875	0.016125	0.015775	0.010575	0.009775	0.0046	0.00325	0.0062	0.001625	0.0018	0.00065	0.001	0.0018	0.000175	0	0
11	sensor	0.0221	0.0418	0.0314	0.0423	0.0408	0.052375	0.042125	0.044875	0.041325	0.032525	0.03775	0.04445	0.0464	0.04005	0.03825	0.0379	0.0265	0.0223	0.021625	0.03075	0.042175	0.034825	0.0288	0.020825	0.0169	0.016925	0.019175	0.013825	0.00995	0.01255	0.009125	0.004425	0.005875	0.00685	0.00475	0.004725	0.002125	0.003425	0.0018	0.00115	0.0013	0.000975
12	sensor	0.0426375	0.07013925	0.027663	0.03954325	0.0333595	0.03466075	0.0340145	0.032223	0.036944	0.04052525	0.03629225	0.03238625	0.03124675	0.031409375	0.024411	0.024246875	0.03124425	0.0279905	0.0294525	0.039544	0.03043075	0.0348235	0.02278225	0.02148065	0.02685275	0.0284785	0.01383055	0.01383135	0.0151312	0.0164347	0.0149694	0.013828575	0.011877825	0.014809675	0.0086254	0.0050447	0.00178995	0.0008138	0.00260425	0.000488275	0.00065105	0.000488275
13	sensor	0.020020875	0.0208335	0.0257113	0.026195575	0.03596315	0.0364565	0.0364551	0.036779825	0.03710625	0.036779	0.02669625	0.043293	0.04264225	0.0459005	0.03499475	0.03515575	0.04345625	0.050945	0.062012	0.04297275	0.04362475	0.0320685	0.0240915	0.02164725	0.02229955	0.0148104	0.008625993	0.007975	0.007486443	0.006835675	0.00553325	0.009114225	0.006021725	0.007161485	0.0063495	0.006023175	0.0079785	0.00976975	0.006351075	0.00260575	0.002117275	0.001140075
1	source	0.03695	0.06625	0.044275	0.044425	0.03715	0.039725	0.03435	0.029975	0.0303	0.041175	0.037425	0.042975	0.037575	0.036625	0.029925	0.03615	0.03255	0.02655	0.032575	0.031275	0.034525	0.0394	0.032225	0.025075	0.014475	0.01775	0.016275	0.007	0.011575	0.008475	0.006675	0.00765	0.00815	0.006025	0.00685	0.005375	0.00165	0.00115	0.000825	0.000325	0.0005	0
2	source	0.041675	0.0586	0.063975	0.061525	0.044425	0.044425	0.041175	0.037125	0.03155	0.025375	0.03355	0.042975	0.035475	0.0288	0.021975	0.02345	0.0371	0.03025	0.0337	0.045725	0.0363	0.03485	0.02035	0.021175	0.01645	0.016775	0.013675	0.007175	0.0065	0.004875	0.003575	0.00455	0.008625	0.003275	0.003425	0.0044	0.004225	0.002775	0.00065	0.00245	0.000825	0.000325
3	source	0.0578	0.030275	0.047725	0.051625	0.0425	0.0412	0.03335	0.03775	0.04625	0.037925	0.042175	0.042	0.040875	0.039725	0.0321	0.0407	0.04415	0.0394	0.030925	0.029625	0.0311	0.02165	0.03015	0.018575	0.009775	0.00815	0.0093	0.0114	0.004875	0.00375	0.00295	0.004725	0.00455	0.0039	0.004075	0.004725	0.007975	0.00505	0.00195	0.00245	0.00065	0.000325
4	source	0.0438	0.0552	0.04295	0.0479	0.040225	0.041525	0.051275	0.03695	0.0459	0.054725	0.0446	0.0425	0.0386	0.040725	0.044625	0.0352	0.033225	0.0363	0.02865	0.031425	0.032075	0.0316	0.018875	0.014	0.013025	0.00865	0.0065	0.00735	0.006225	0.005225	0.0023	0.002775	0.001825	0.002775	0.003425	0.001475	0.001325	0.001	0.000825	0.0018	0.001	0
5	source	0.030925	0.034175	0.024575	0.0215	0.034	0.036775	0.037575	0.041	0.039525	0.038725	0.03625	0.03385	0.036275	0.043425	0.04555	0.035475	0.036775	0.035775	0.045725	0.04085	0.037775	0.029425	0.027825	0.0275	0.029925	0.02685	0.023425	0.013825	0.010425	0.008	0.00765	0.00865	0.00295	0.005875	0.002125	0.0026	0.00375	0.0018	0.000675	0	0.000325	0
6	source	0.046866667	0.074033333	0.0662	0.070333333	0.0623	0.0447	0.033	0.0354	0.048166667	0.048166667	0.039066667	0.025166667	0.037066667	0.028666667	0.030366667	0.031033333	0.022366667	0.022366667	0.025833333	0.029533333	0.022766667	0.028233333	0.014733333	0.007833333	0.0115	0.010633333	0.009966667	0.0104	0.013866667	0.010433333	0.009333333	0.006733333	0.004133333	0.0024	0.004566667	0.004766667	0.0039	0.0011	0.000233333	0.000666667	0.000666667	0.000666667
7	source	0.030425	0.044425	0.025075	0.02995	0.020825	0.01985	0.03255	0.033675	0.032225	0.03385	0.0353	0.040675	0.051775	0.038575	0.0332	0.045075	0.045425	0.043125	0.0454	0.032875	0.03205	0.0278	0.020975	0.022625	0.02655	0.017725	0.02325	0.022125	0.01235	0.010425	0.008825	0.010575	0.01025	0.01255	0.00895	0.007825	0.006675	0.00165	0.000975	0.0005	0.00065	0.0005
8	source	0.034325	0.053075	0.055975	0.05435	0.063125	0.04655	0.0493	0.050125	0.045875	0.039375	0.044775	0.0368	0.0335	0.02635	0.025375	0.0301	0.024425	0.0192	0.0231	0.023575	0.02815	0.0215	0.014325	0.014025	0.01725	0.012875	0.014975	0.014	0.01305	0.0101	0.011875	0.007025	0.008775	0.0093	0.005725	0.00845	0.0041	0.003925	0.000675	0.00035	0.0005	0
9	source	0.02603175	0.051574	0.0452285	0.02961295	0.03465475	0.04148375	0.0284685	0.04554775	0.0488005	0.026678	0.03188575	0.02977225	0.0326995	0.04262275	0.03839075	0.0274915	0.03155925	0.03123425	0.0296065	0.0323705	0.0370925	0.0307475	0.02717125	0.025217	0.02309925	0.02033475	0.016917575	0.01317725	0.010573975	0.0115498	0.008459225	0.008295875	0.013500825	0.01171225	0.0097611	0.008133125	0.0073202	0.00569325	0.001301475	0.00130145	0.00211495	0.000813275
10	source	0.047375	0.052075	0.027525	0.03095	0.035975	0.053025	0.0371	0.028	0.037275	0.044425	0.05565	0.0451	0.04135	0.045425	0.034675	0.031425	0.027175	0.035475	0.03305	0.030425	0.029125	0.0293	0.0231	0.021825	0.02035	0.013525	0.018075	0.015625	0.00945	0.010275	0.006675	0.0031	0.007475	0.00765	0.0031	0.002125	0.0013	0.0018	0.001975	0.0005	0.000325	0
11	source	0.062825	0.069825	0.046025	0.046525	0.048825	0.051925	0.0423	0.04425	0.049775	0.036775	0.027475	0.028775	0.02815	0.0327	0.027325	0.02895	0.03125	0.0303	0.022125	0.0288	0.041325	0.038075	0.020325	0.018225	0.0189	0.01725	0.010425	0.014825	0.0122	0.006525	0.00375	0.00165	0.00295	0.002775	0.0031	0.001625	0.000975	0.000175	0	0	0	0
12	source	0.03760025	0.053545	0.0729115	0.075673	0.0517585	0.06315625	0.037271	0.02815425	0.024089	0.02864675	0.03043575	0.024253	0.0247395	0.0227855	0.02148375	0.02783125	0.030598	0.025391	0.0268565	0.03727475	0.033695	0.0389025	0.0232745	0.0133465	0.013347175	0.0136732	0.01302115	0.012206525	0.015949575	0.0139965	0.0110673	0.00765095	0.0060228	0.005372455	0.006022975	0.006510525	0.005045675	0.00455805	0.004395475	0.002929475	0.003091585	0.00146515
13	source	0.0242513	0.0288085	0.0545245	0.04199225	0.04150375	0.04996725	0.046875	0.0532225	0.03955075	0.0309245	0.0431315	0.0335285	0.03141275	0.03694675	0.03629575	0.03271475	0.03792325	0.03417975	0.0301105	0.02441425	0.0288084	0.034668	0.0266925	0.029785	0.027181	0.0193685	0.0167645	0.012858125	0.011067675	0.010416625	0.00618495	0.006347675	0.00569665	0.003255225	0.00227865	0.00390625	0.001953125	0.000488275	0	0	0	0
