subjid	cond	time	pair	LR	UD	2D
1	Source	1	1	0.042266667	0.0636	0.1245
1	Source	2	2	0.05125	0.059433333	0.151775
1	Source	3	3	0.0743	0.0666	0.14715
2	Source	1	1	0.0683	0.04375	0.12225
2	Source	2	2	0.0669	0.03235	0.133925
2	Source	3	3	0.071175	0.03975	0.1321
3	Source	1	1	0.0657	0.0778	0.141025
3	Source	2	2	0.068025	0.073525	0.13085
4	Source	1	1	0.0426	0.0533	0.117675
4	Source	2	2	0.0674	0.027325	0.102825
4	Source	3	3	0.047575	0.0219975	0.10414775
5	Source	1	1	0.03550375	0.03785425	0.09562
5	Source	2	2	0.0196315	0.029179	0.082433
5	Source	3	3	0.01709125	0.0502025	0.09514725
6	Source	1	1	0.0687	0.0828	0.140125
6	Source	2	2	0.067866667	0.07785	0.134166667
7	Source	1	1	0.02757775	0.065642	0.10749225
7	Source	2	2	0.03259425	0.046143	0.1143705
7	Source	3	3	0.064525	0.057433333	0.108566667
8	Source	1	1	0.031075	0.02255	0.117225
8	Source	2	2	0.0246	0.04935	0.115125
8	Source	3	3	0.034675	0.0437	0.09335
9	Source	1	1	0.0538	0.081225	0.141325
9	Source	2	2	0.0472185	0.046066667	0.11350875
9	Source	3	3	0.0326	0.064966667	0.14845
10	Source	1	1	0.04645	0.0474	0.1216
10	Source	2	2	0.0518	0.0538	0.123275
11	Source	1	1	0.042	0.03265	0.127675
11	Source	2	2	0.045375	0.03515	0.114775
11	Source	3	3	0.05075	0.05615	0.1403
12	Source	1	1	0.0538	0.066625	0.093925
12	Source	2	2	0.0633	0.0553	0.105775
12	Source	3	3	0.069633333	0.040975	0.093175
13	Source	1	1	0.034925	0.042525	0.130575
13	Source	2	2	0.040075	0.05155	0.1044
13	Source	3	3	0.03095	0.033225	0.0795
14	Source	1	1	0.058175	0.059425	0.139775
14	Source	2	2	0.076575	0.0607	0.13375
14	Source	3	3	0.068375	0.052325	0.153075
15	Source	1	1	0.071666667	0.063425	0.1454
15	Source	2	2	0.063725	0.066775	0.13435
15	Source	3	3	0.0665	0.076575	0.141225
16	Source	1	1	0.049375	0.05935	0.098475
16	Source	2	2	0.031925	0.049775	0.1038
16	Source	3	3	0.040725	0.045533333	0.139325
1	Sensor	1	4	0.05865	0.0609	0.153175
1	Sensor	2	5	0.0735	0.05835	0.127325
1	Sensor	3	6	0.073966667	0.0734	0.15745
2	Sensor	1	4	0.0566	0.0392	0.11915
2	Sensor	2	5	0.075133333	0.037225	0.124625
2	Sensor	3	6	0.0551	0.042075	0.15075
3	Sensor	1	4	0.066366667	0.0651	0.152425
3	Sensor	2	5	0.069475	0.075066667	0.153825
4	Sensor	1	4	0.03825	0.029775	0.113575
4	Sensor	2	5	0.046025	0.028525	0.117425
4	Sensor	3	6	0.061025	0.03595	0.108842
5	Sensor	1	4	0.02842225	0.053525	0.110107
5	Sensor	2	5	0.06200325	0.0788	0.117465
5	Sensor	3	6	0.01962635	0.04	0.12751
6	Sensor	1	4	0.09045	0.0838	0.169533333
6	Sensor	2	5	0.068925	0.06115	0.1443
7	Sensor	1	4	0.035793	0.029725	0.101159
7	Sensor	2	5	0.04403075	0.051425	0.1610175
7	Sensor	3	6	0.054425	0.076633333	0.1367
8	Sensor	1	4	0.03445	0.052875	0.129225
8	Sensor	2	5	0.06765	0.056225	0.13425
8	Sensor	3	6	0.028433333	0.03805	0.112725
9	Sensor	1	4	0.0449	0.071566667	0.1351
9	Sensor	2	5	0.0543355	0.046066667	0.12683925
9	Sensor	3	6	0.049775	0.0633	0.13145
10	Sensor	1	4	0.0474	0.052725	0.1598
10	Sensor	2	5	0.0758	0.0606	0.1481
11	Sensor	1	4	0.0434	0.05365	0.135075
11	Sensor	2	5	0.07515	0.043125	0.14815
11	Sensor	3	6	0.0506	0.041575	0.114075
12	Sensor	1	4	0.07515	0.040375	0.138975
12	Sensor	2	5	0.044475	0.04965	0.138425
12	Sensor	3	6	0.0506	0.035775	0.109525
13	Sensor	1	4	0.032075	0.044125	0.11565
13	Sensor	2	5	0.02955	0.032975	0.1167
13	Sensor	3	6	0.035175	0.034225	0.0989
14	Sensor	1	4	0.0585	0.061675	0.164375
14	Sensor	2	5	0.078766667	0.04515	0.125625
14	Sensor	3	6	0.083066667	0.074625	0.108475
15	Sensor	1	4	0.065425	0.078875	0.130025
15	Sensor	2	5	0.07125	0.07445	0.131375
15	Sensor	3	6	0.06125	0.060025	0.15895
16	Sensor	1	4	0.051325	0.052675	0.114975
16	Sensor	2	5	0.056966667	0.0792	0.100525
16	Sensor	3	6	0.053033333	0.070233333	0.110175
