subjid	cond	time	pair	LR	UD	2D
1	Source	1	1	0.067225	0.076325	0.1537
2	Source	1	1	0.070675	0.074525	0.1443
3	Source	1	1	0.073925	0.0635	0.146175
4	Source	1	1	0.06365	0.0531	0.136275
5	Source	1	1	0.0586	0.07775	0.168525
6	Source	1	1	0.08145	0.06985	0.133175
7	Source	1	1	0.053425	0.0626	0.1773
8	Source	1	1	0.065675	0.084875	0.1437
9	Source	1	1	0.058625	0.0509	0.16942
10	Source	1	1	0.057325	0.07595	0.152575
11	Source	1	1	0.0806	0.061	0.135875
12	Source	1	1	0.0599195	0.07383275	0.1543925
13	Source	1	1	0.07053175	0.10056275	0.14997		
1	Sensor	1	2	0.097475	0.08605	0.178175
2	Sensor	1	2	0.0567	0.0856	0.15305
3	Sensor	1	2	0.0608	0.08435	0.167725
4	Sensor	1	2	0.058775	0.05095	0.135175
5	Sensor	1	2	0.050225	0.075625	0.153875
6	Sensor	1	2	0.085275	0.06095	0.158575
7	Sensor	1	2	0.069725	0.0668	0.168
8	Sensor	1	2	0.064225	0.08295	0.14085
9	Sensor	1	2	0.087775	0.07	0.14665
10	Sensor	1	2	0.069375	0.07705	0.16385
11	Sensor	1	2	0.0826	0.0644	0.15905
12	Sensor	1	2	0.0725475	0.0802305	0.17642
13	Sensor	1	2	0.073979	0.06336275	0.16687
