subjid	cond	LR	UD
1	source	0.3936	0.4088
2	source	0.2681	0.4035
3	source	0.3913	0.5331
4	source	0.4884	0.4606
5	source	0.3773	0.5641
6	source	0.3004	0.2798
7	source	0.3683	0.3868
8	source	0.4025	0.4317
9	source	0.3888	0.3347
10	source	0.445	0.3483
11	source	0.3793	0.2881
12	source	0.6144	0.6708
13	source	0.50348	0.42387
1	sensor	0.2593	0.3409
2	sensor	0.5338	0.3679
3	sensor	0.1769	0.1425
4	sensor	0.3513	0.3933
5	sensor	0.1736	0.0385
6	sensor	0.1366	0.0325
7	sensor	0.1131	0.3575
8	sensor	0.1301	0.3157
9	sensor	0.2047	0.739
10	sensor	0.4141	0.4193
11	sensor	0.256	0.4505
12	sensor	0.43365	0.35055
13	sensor	0.3853	0.5232
