subjid	cond	LR	UD
1	source	0.3389	0.4
1	source	0.5257	0.6093
1	source	0.5389	0.6291
2	source	0.4997	0.5364
2	source	0.4799	0.4343
2	source	0.667	0.3607
3	source	0.4838	0.354
3	source	0.5498	0.4812
4	source	0.3301	0.5435
4	source	0.3865	0.4183
4	source	0.3464	0.5657
5	source	0.3412	0.5734
5	source	0.442	0.4551
5	source	0.446	0.5184
6	source	0.3267	0.6665
6	source	0.5621	0.3686
7	source	0.3931	0.4649
7	source	0.4521	0.4437
7	source	0.2491	0.4484
8	source	0.3432	0.3269
8	source	0.5821	0.3997
8	source	0.384	0.44
9	source	0.2956	0.6613
9	source	0.4026	0.3432
9	source	0.5457	0.4999
10	source	0.2598	0.4421
10	source	0.5175	0.5993
11	source	0.4357	0.3885
11	source	0.4252	0.5088
11	source	0.4783	0.309
12	source	0.3802	0.6598
12	source	0.3654	0.3102
12	source	0.3462	0.5939
13	source	0.3323	0.5387
13	source	0.4808	0.34
13	source	0.4191	0.3901
14	source	0.3287	0.422
14	source	0.385	0.4615
14	source	0.4711	0.3449
15	source	0.4511	0.3726
15	source	0.4002	0.3961
15	source	0.5579	0.5852
16	source	0.3631	0.6907
16	source	0.5137	0.4466
1	sensor	0.0755	0.5626
1	sensor	0.222	0.3954
1	sensor	0.1596	0.4617
2	sensor	0.1388	0.3098
2	sensor	0.5187	0.6157
2	sensor	0.1065	0.4268
3	sensor	0.3891	0.2126
3	sensor	0.1391	0.1325
4	sensor	0.049	0.2373
4	sensor	0.0399	0.232
4	sensor	0.6823	0.9443
5	sensor	0.5124	0.9183
5	sensor	0.5964	0.8964
5	sensor	0.8331	0.8561
6	sensor	0.7578	0.4489
6	sensor	0.9567	0.4833
7	sensor	0.3591	0.5434
7	sensor	0.4815	0.1576
7	sensor	0.3452	0.5256
8	sensor	0.0758	0.3898
8	sensor	0.1163	0.11
8	sensor	0.2606	0.6734
9	sensor	0.4184	0.6335
9	sensor	0.2006	0.1083
9	sensor	0.2259	0.2512
10	sensor	0.0687	0.4355
10	sensor	0.2523	0.66
11	sensor	0.3457	0.7455
11	sensor	0.2584	0.6142
11	sensor	0.161	0.4266
12	sensor	0.3168	0.4401
12	sensor	0.4141	0.3454
12	sensor	0.1544	0.5012
13	sensor	0.4089	0.6512
13	sensor	0.3386	0.5719
13	sensor	0.3037	0.4973
14	sensor	0.105	0.5983
14	sensor	0.1496	0.5416
14	sensor	0.4515	0.4594
15	sensor	0.336	0.6278
15	sensor	0.5187	0.6691
15	sensor	0.8176	0.7679
16	sensor	0.7085	0.4324
16	sensor	0.5978	0.6825
