subjid	cond	2D	LR	UD
1	Sensor	0.2642	0.380475	0.2828
1	Sensor	0.450425	0.2695	0.2249
1	Sensor	0.244725	0.352133333	0.18295
2	Sensor	0.42795	0.422225	0.331275
2	Sensor	0.3867	0.271566667	0.33295
2	Sensor	0.2861	0.448766667	0.373275
3	Sensor	0.276225	0.3374	0.228425
3	Sensor	0.2614	0.366375	0.237366667
4	Sensor	0.488375	0.424875	0.3485
4	Sensor	0.440175	0.468925	0.397175
4	Sensor	0.49085	0.35985	0.37265
5	Sensor	0.257775	0.623725	0.2389
5	Sensor	0.474869	0.410995	0.1938125
5	Sensor	0.39241975	0.6914325	0.312115
6	Sensor	0.221433333	0.28085	0.1428
6	Sensor	0.295175	0.31885	0.25685
7	Sensor	0.52910275	0.570475	0.38285
7	Sensor	0.28602125	0.5058675	0.310725
7	Sensor	0.39905	0.38365	0.188133333
8	Sensor	0.406675	0.54585	0.245225
8	Sensor	0.3395	0.15285	0.25835
8	Sensor	0.471475	0.6106	0.31915
9	Sensor	0.37345	0.51935	0.185566667
9	Sensor	0.436477	0.482005	0.301866667
9	Sensor	0.33775	0.467625	0.203275
10	Sensor	0.255725	0.553	0.251775
10	Sensor	0.3565	0.3117	0.195075
11	Sensor	0.347725	0.519325	0.256175
11	Sensor	0.2968	0.33405	0.292125
11	Sensor	0.4342	0.4288	0.2934
12	Sensor	0.357575	0.33085	0.2982
12	Sensor	0.433	0.510425	0.24215
12	Sensor	0.467325	0.429625	0.345025
13	Sensor	0.3042	0.364025	0.20605
13	Sensor	0.349025	0.2977	0.316
13	Sensor	0.382175	0.2477	0.2667
14	Sensor	0.387625	0.3393	0.1964
14	Sensor	0.38915	0.3508	0.2044
14	Sensor	0.2827	0.35315	0.201633333
15	Sensor	0.4212	0.39345	0.255575
15	Sensor	0.500675	0.4219	0.2827
15	Sensor	0.494125	0.463475	0.2616
16	Sensor	0.4785	0.562625	0.277725
16	Sensor	0.445525	0.620575	0.3589
16	Sensor	0.529825	0.560475	0.3606				
1	Source	0.433975	0.45505	0.218675
1	Source	0.314925	0.482375	0.2971
1	Source	0.341625	0.323633333	0.25855
2	Source	0.46735	0.3831	0.3017
2	Source	0.405775	0.391075	0.368125
2	Source	0.417733333	0.294125	0.282025
3	Source	0.3319	0.4271	0.179466667
3	Source	0.3642	0.362475	0.172575
4	Source	0.44055	0.510925	0.2666
4	Source	0.506175	0.357575	0.386225
4	Source	0.54725	0.459075	0.42955
5	Source	0.27365	0.580375	0.378975
5	Source	0.608671	0.6723525	0.369603333
5	Source	0.54659375	0.7303025	0.3097625
6	Source	0.316125	0.404825	0.135533333
6	Source	0.333633333	0.337533333	0.176575
7	Source	0.46305475	0.5986725	0.262415
7	Source	0.45971325	0.563915	0.332855
7	Source	0.541433333	0.33575	0.254733333
8	Source	0.42455	0.652825	0.41005
8	Source	0.45805	0.328725	0.318875
8	Source	0.512275	0.60905	0.320475
9	Source	0.335625	0.299925	0.21635
9	Source	0.41721825	0.4404725	0.202875
9	Source	0.32205	0.613075	0.277075
10	Source	0.4574	0.504	0.317133333
10	Source	0.4539	0.4279	0.242025
11	Source	0.4791	0.553725	0.36925
11	Source	0.5055	0.427975	0.3068
11	Source	0.3195	0.443075	0.22705
12	Source	0.511275	0.420625	0.212625
12	Source	0.484475	0.41675	0.254
12	Source	0.54455	0.349433333	0.322425
13	Source	0.34	0.429475	0.1745
13	Source	0.4298	0.210725	0.172725
13	Source	0.3589	0.358175	0.20065
14	Source	0.316425	0.3449	0.24505
14	Source	0.3681	0.425175	0.247575
14	Source	0.318	0.30545	0.17845
15	Source	0.487775	0.47915	0.25325
15	Source	0.4992	0.551625	0.326225
15	Source	0.37	0.5267	0.304366667
16	Source	0.44275	0.548175	0.35215
16	Source	0.527625	0.510625	0.3589
16	Source	0.656875	0.61005	0.384075
