subjid	cond	2D	LR	UD
1	Sensor	0.28375	0.2958	0.264425
2	Sensor	0.400325	0.508775	0.264275
3	Sensor	0.386925	0.48175	0.298275
4	Sensor	0.506575	0.49675	0.429125
5	Sensor	0.447575	0.525866667	0.303175
6	Sensor	0.3948	0.366	0.419225
7	Sensor	0.353725	0.519233333	0.351133333
8	Sensor	0.505675	0.4528	0.29765
9	Sensor	0.43695	0.313175	0.330925
10	Sensor	0.3432	0.357675	0.33735
11	Sensor	0.391625	0.368575	0.3353
12	Sensor	0.39171	0.42926075	0.3608015
13	Sensor	0.312301075	0.379522	0.229387333		
1	Source	0.404575	0.45075	0.28835
2	Source	0.44985	0.4072	0.345525
3	Source	0.4264	0.3769	0.38925
4	Source	0.46045	0.47955	0.365825
5	Source	0.338775	0.404	0.246825
6	Source	0.529166667	0.3531	0.350025
7	Source	0.30285	0.571233333	0.397733333
8	Source	0.492075	0.4772	0.2596
9	Source	0.37808045	0.4893	0.439375
10	Source	0.393725	0.497875	0.2623
11	Source	0.49905	0.386775	0.40465
12	Source	0.4728055	0.4130525	0.220841
13	Source	0.4116203	0.46153475	0.375322
