subjid	cond	2D	LR	UD
1	Sensor	0.347125	0.395875	0.2096
1	Sensor	0.4745	0.2564	0.217575
1	Sensor	0.35275	0.323366667	0.15745
2	Sensor	0.503325	0.36635	0.295025
2	Sensor	0.451025	0.2864	0.309625
2	Sensor	0.335875	0.367266667	0.26215
3	Sensor	0.358025	0.3239	0.19925
3	Sensor	0.365475	0.3156	0.154033333
4	Sensor	0.52895	0.4534	0.3393
4	Sensor	0.508275	0.4072	0.317975
4	Sensor	0.5263	0.33765	0.3069
5	Sensor	0.272475	0.5789175	0.2295325
5	Sensor	0.514068	0.323885	0.1740925
5	Sensor	0.44750175	0.533285	0.2934225
6	Sensor	0.273266667	0.19635	0.156
6	Sensor	0.394575	0.2873	0.1948
7	Sensor	0.581584	0.4494975	0.30615
7	Sensor	0.34616005	0.38442	0.2511
7	Sensor	0.463125	0.366625	0.1662
8	Sensor	0.435725	0.453175	0.22075
8	Sensor	0.42095	0.163225	0.246975
8	Sensor	0.53445	0.4922	0.28875
9	Sensor	0.4346	0.419925	0.152666667
9	Sensor	0.46584025	0.3816475	0.2613
9	Sensor	0.4322	0.400825	0.205025
10	Sensor	0.3459	0.4064	0.238875
10	Sensor	0.3985	0.26275	0.195775
11	Sensor	0.432425	0.4667	0.233825
11	Sensor	0.388875	0.32995	0.284275
11	Sensor	0.483775	0.407525	0.261925
12	Sensor	0.431675	0.281325	0.3333
12	Sensor	0.42855	0.466425	0.242625
12	Sensor	0.54155	0.38825	0.318
13	Sensor	0.35965	0.351425	0.1812
13	Sensor	0.400725	0.2914	0.198375
13	Sensor	0.4621	0.2692	0.2637
14	Sensor	0.43465	0.303075	0.1449
14	Sensor	0.4715	0.3066	0.1599
14	Sensor	0.354175	0.349475	0.178033333
15	Sensor	0.4958	0.399825	0.201175
15	Sensor	0.55145	0.377966667	0.23105
15	Sensor	0.52025	0.368375	0.217866667
16	Sensor	0.4868	0.515825	0.2545
16	Sensor	0.501125	0.48055	0.292975
16	Sensor	0.558175	0.456325	0.3061
1	Source	0.4819	0.39775	0.201375
1	Source	0.36715	0.401825	0.2068
1	Source	0.381475	0.3075	0.182625
2	Source	0.4715	0.348633333	0.28185
2	Source	0.437725	0.306375	0.32995
2	Source	0.460166667	0.2924	0.29375
3	Source	0.4179	0.331166667	0.1745
3	Source	0.449575	0.33565	0.159275
4	Source	0.493025	0.446	0.2356
4	Source	0.5635	0.2822	0.338375
4	Source	0.56115	0.3909	0.3987
5	Source	0.288525	0.4717	0.2879125
5	Source	0.64691825	0.615335	0.347866667
5	Source	0.5945355	0.588115	0.24129
6	Source	0.378625	0.29335	0.0948
6	Source	0.437833333	0.307666667	0.152975
7	Source	0.523942	0.4923525	0.18939
7	Source	0.52318725	0.4713625	0.2632
7	Source	0.537633333	0.3508	0.219966667
8	Source	0.50245	0.46805	0.390925
8	Source	0.4973	0.226775	0.239575
8	Source	0.577275	0.4358	0.2769
9	Source	0.4043	0.344625	0.1835
9	Source	0.49978725	0.422005	0.15805
9	Source	0.3874	0.52935	0.24695
10	Source	0.4943	0.39415	0.247633333
10	Source	0.46135	0.38545	0.226975
11	Source	0.49115	0.437425	0.3055
11	Source	0.535175	0.4306	0.2989
11	Source	0.38095	0.41195	0.240075
12	Source	0.59445	0.375375	0.197275
12	Source	0.53725	0.32905	0.233875
12	Source	0.586775	0.312666667	0.2901
13	Source	0.461825	0.352225	0.220825
13	Source	0.4589	0.255425	0.22515
13	Source	0.391375	0.299175	0.230175
14	Source	0.3753	0.2901	0.193775
14	Source	0.42145	0.333175	0.19
14	Source	0.415225	0.28555	0.1539
15	Source	0.543675	0.39545	0.220425
15	Source	0.548375	0.478525	0.25145
15	Source	0.45	0.464025	0.294933333
16	Source	0.4759	0.482575	0.28635
16	Source	0.54945	0.437075	0.292975
16	Source	0.660075	0.447525	0.31605
