subjid	cond	2D	LR	UD
1	Sensor	0.3558	0.264175	0.209375
2	Sensor	0.492725	0.469125	0.2291
3	Sensor	0.49555	0.4439	0.287825
4	Sensor	0.578	0.439975	0.384325
5	Sensor	0.5165	0.490566667	0.295075
6	Sensor	0.470525	0.3523	0.3556
7	Sensor	0.45305	0.444933333	0.275933333
8	Sensor	0.58455	0.4467	0.23935
9	Sensor	0.540675	0.304875	0.294225
10	Sensor	0.44635	0.376725	0.29495
11	Sensor	0.44635	0.355025	0.332925
12	Sensor	0.464079375	0.39125375	0.33371325
13	Sensor	0.410851425	0.39127075	0.2692				
1	Source	0.51965	0.425375	0.2638
2	Source	0.545425	0.408575	0.29035
3	Source	0.545125	0.374875	0.3312
4	Source	0.542425	0.4229	0.3819
5	Source	0.3979	0.447466667	0.2631
6	Source	0.595833333	0.37	0.30015
7	Source	0.405225	0.478233333	0.359433333
8	Source	0.5475	0.48785	0.22465
9	Source	0.46518	0.4315	0.410375
10	Source	0.5007	0.4879	0.228825
11	Source	0.57625	0.358	0.336925
12	Source	0.540835	0.3895725	0.16740225
13	Source	0.49364425	0.4443325	0.307356333
