subjid	paradigm	cond	time	pair	pair2	var
2	cp	cp	base	1	1	0.0122
2	cp	cp	eval	2	2	0.0016
2	dt	cp	base	3	3	0.02
2	dt	cp	eval	4	4	0.0748
3	cp	cp	base	1	1	0.0079
3	cp	cp	eval	2	2	0.0021
3	dt	cp	base	3	3	0.0588
3	dt	cp	eval	4	4	0.219
4	cp	cp	base	1	1	0.0101
4	cp	cp	eval	2	2	0.0058
4	dt	cp	base	3	3	0.3077
4	dt	cp	eval	4	4	0.1137
5	cp	cp	base	1	1	0.0465
5	cp	cp	eval	2	2	0.0044
5	dt	cp	base	3	3	0.1047
5	dt	cp	eval	4	4	0.0271
6	cp	cp	base	1	1	0.0047
6	cp	cp	eval	2	2	0.0078
6	dt	cp	base	3	3	0.2179
6	dt	cp	eval	4	4	0.0571
7	cp	cp	base	1	1	0.0026
7	cp	cp	eval	2	2	0.0331
7	dt	cp	base	3	3	0.0736
7	dt	cp	eval	4	4	0.0966
8	cp	cp	eval	2	2	0.0046
8	dt	cp	eval	4	4	0.042
9	cp	cp	base	1	1	0.0008
9	dt	cp	base	3	3	0.1683
10	cp	cp	base	1	1	0.0111
10	cp	cp	eval	2	2	0.0025
10	dt	cp	base	3	3	0.0752
10	dt	cp	eval	4	4	0.0854
11	cp	cp	base	1	1	0.0037
11	cp	cp	eval	2	2	0.0103
11	dt	cp	base	3	3	0.0753
11	dt	cp	eval	4	4	0.104
12	cp	dt	base	5	1	0.0067
12	cp	dt	eval	6	2	0.0017
12	dt	dt	base	7	3	0.0193
12	dt	dt	eval	8	4	0.0244
13	cp	dt	base	5	1	0.0136
13	cp	dt	eval	6	2	0.0022
13	dt	dt	base	7	3	0.3107
13	dt	dt	eval	8	4	0.086
14	cp	dt	base	5	1	0.0218
14	cp	dt	eval	6	2	0.033
14	dt	dt	base	7	3	0.0557
14	dt	dt	eval	8	4	0
15	cp	dt	base	5	1	0.008
15	cp	dt	eval	6	2	0.008
15	dt	dt	base	7	3	0.1031
15	dt	dt	eval	8	4	0.0169
16	cp	dt	base	5	1	0.004
16	dt	dt	base	7	3	0.0034
17	cp	dt	base	5	1	0.0009
17	cp	dt	eval	6	2	0.0049
17	dt	dt	base	7	3	0.0045
17	dt	dt	eval	8	4	0.1552
18	dt	dt	eval	8	4	0.0779
19	cp	dt	base	5	1	0.076
19	cp	dt	eval	6	2	0.0008
19	dt	dt	base	7	3	0.0739
19	dt	dt	eval	8	4	0.0088
20	cp	dt	base	5	1	0.0034
20	cp	dt	eval	6	2	0.0182
20	dt	dt	base	7	3	0.0631
20	dt	dt	eval	8	4	0.1589
21	cp	dt	base	5	1	0.0088
21	cp	dt	eval	6	2	0.0258
21	dt	dt	base	7	3	0.0336
21	dt	dt	eval	8	4	0.0053
22	cp	dt	base	5	1	0.0109
22	cp	dt	eval	6	2	0.0085
22	dt	dt	base	7	3	0.3068
22	dt	dt	eval	8	4	0.2511
