base	eval	sensor	source
0.05145	0.0473	0.05865	0.042266667
0.06155	0.0487	0.0735	0.05125
0.09375	0.03115	0.073966667	0.0743
0.1039	0.0537	0.0566	0.0683
0.06575	0.03525	0.075133333	0.0669
0.0553	0.08425	0.0551	0.071175
0.09475	0.0414	0.066366667	0.0657
0.0839	0.063538	0.069475	0.068025
0.0419775	0.0299	0.03825	0.0426
0.0892	0.0584	0.046025	0.0674
0.06395	0.0573	0.061025	0.047575
0	0	0.02842225	0.03550375
0	0	0.06200325	0.0196315
0	0	0.01962635	0.01709125
0	0	0.09045	0.0687
0	0	0.068925	0.067866667
0	0	0.035793	0.02757775
0	0	0.04403075	0.03259425
0	0	0.054425	0.064525
0	0	0.03445	0.031075
0	0	0.06765	0.0246
0	0	0.028433333	0.034675
0	0	0.0449	0.0538
0	0	0.0543355	0.0472185
0	0	0.049775	0.0326
0	0	0.0474	0.04645
0	0	0.0758	0.0518
0	0	0.0434	0.042
0	0	0.07515	0.045375
0	0	0.0506	0.05075
0	0	0.07515	0.0538
0	0	0.044475	0.0633
0	0	0.0506	0.069633333
0	0	0.032075	0.034925
0	0	0.02955	0.040075
0	0	0.035175	0.03095
0	0	0.0585	0.058175
0	0	0.078766667	0.076575
0	0	0.083066667	0.068375
0	0	0.065425	0.071666667
0	0	0.07125	0.063725
0	0	0.06125	0.0665
0	0	0.051325	0.049375
0	0	0.056966667	0.031925
0	0	0.053033333	0.040725
