subjid	cond	var
1	Sensor	0.3028
1	Sensor	0.06255
1	Sensor	0.062
2	Sensor	0.7871
2	Sensor	0.3578
2	Sensor	0.05915
3	Sensor	0.25225
3	Sensor	0.79155
4	Sensor	0.2145
4	Sensor	0.54225
4	Sensor	0.13135
5	Sensor	0.1947
5	Sensor	0.0689
5	Sensor	0.33595
6	Sensor	0.0941
6	Sensor	0.14425
7	Sensor	0.1304
7	Sensor	0.20815
7	Sensor	0.22815
8	Sensor	0.15035
8	Sensor	0.5087
8	Sensor	0.4188
9	Sensor	0.3076
9	Sensor	0.22705
9	Sensor	0.0858
10	Sensor	0.24655
10	Sensor	0.71905
11	Sensor	0.2994
11	Sensor	0.4122
11	Sensor	0.35655
12	Sensor	0.08365
12	Sensor	0.18525
12	Sensor	0.0791
13	Sensor	0.51445
13	Sensor	0.171
13	Sensor	0.24625
14	Sensor	0.0983
14	Sensor	0.1667
14	Sensor	0.46125
15	Sensor	0.2203
15	Sensor	0.1748
15	Sensor	0.80535
16	Sensor	0.16145
16	Sensor	0.13195
16	Sensor	0.11475		
1	Source	0.37005
1	Source	0.06035
1	Source	0.11755
2	Source	0.3449
2	Source	0.20175
2	Source	0.22585
3	Source	0.0746
3	Source	0.3125
4	Source	0.0941
4	Source	0.39815
4	Source	0.28015
5	Source	0.1909
5	Source	0.14905
5	Source	0.15595
6	Source	0.1529
6	Source	0.2193
7	Source	0.20375
7	Source	0.2703
7	Source	0.4331
8	Source	0.39275
8	Source	0.1407
8	Source	0.27405
9	Source	0.2014
9	Source	0.11315
9	Source	0.1715
10	Source	0.23995
10	Source	0.09195
11	Source	0.129
11	Source	0.12165
11	Source	0.0577
12	Source	0.23775
12	Source	0.39135
12	Source	0.3395
13	Source	0.2792
13	Source	0.492
13	Source	0.3579
14	Source	0.33905
14	Source	0.3764
14	Source	0.23515
15	Source	0.1753
15	Source	0.3467
15	Source	0.50495
16	Source	0.413
16	Source	0.3435
16	Source	0.087
