subjid	cond	time	pair	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
1	cp	base	1	0.0087101	0.019004	0.12769	0.16819	0.038017	0.038047	0.013279	0.0019161	0.052499	0.0017464	0.026862	0.0013953	0.005705	0.00035731	0.021877	0.024043	0.016599	0.0050791	0.0044421	0.0022044	0.0063133	0.083667	0.00224	0.0059906	0.012496	0.014055	0.0032559	0.0095289	0.025195	0.027881	0.013849	0.038654	0.15238	0.17366	0.022281	0.010963	0.0029028	0.0025477	3.84E-05	0.00088822	0.010651	0.067639	0.003087	3.34E-05	0.041781	0.091283	0.019739	0.086511	0.058775	0.016087	0.072828	0.22375	0.29413	0.16698	0.11421	0.1074	0.15662	0.078546	0.014896	0.0051802	0.0039715	0.015815	0.0077214	0.04301	0.050035	0.022242	0.0010006	0.022453	0.0001431	0.00094501	0.0086698	0.029354	0.075081	0.0064527	0.0043697	0.014075	0.00018041	0.063658	0.01842	0.020724	0.0012155	0.072965	0.022187	0.002002	0.0007131	0.016561	0.0026154	0.042698	0.063372	0.030692	0.051986	0.030148	0.024977	0.040428	0.0049579	0.018443	0.0020365	0.023003	0.012043	0.016511	0.0060394	0.00094622	0.00017581	0.0064861	0.011342	0.017002	0.019878	0.023882	0.015182	4.44E-05	0.032339	0.19628	0.0042938	0.0035099	0.13901	0.065817	0.037896	0.021421	0.018234	0.018388	0.0019041	0.012036	0.0013224	0.0098852	0.10542	0.014753	0.012875	0.0033461
2	cp	base	1	0.0053359	0.0076292	0.0038363	0.0001132	0.022777	0.00039354	0.0056044	0.12795	0.1001	0.072609	0.079066	0.060856	0.065465	0.057022	0.046009	0.071152	0.10945	0.098376	0.00949	0.28579	0.24932	0.27259	0.2652	0.29935	0.26513	0.0012141	9.98E-05	0.0015135	0.098499	0.10807	0.0089405	0.054812	0.0063245	0.011031	0.062819	0.043815	0.031083	0.047091	0.037441	0.029505	0.068697	0.12085	0.12977	0.00025056	0.0014069	0.050599	0.052387	0.005633	0.11733	0.064515	0.040952	0.097099	0.10988	0.060505	0.023525	0.010728	0.034581	0.07561	0.012252	0.051199	0.012864	0.047521	0.10157	0.21775	0.0055061	0.089877	0.41002	0.42394	0.10424	0.078422	0.066815	0.027224	0.16116	0.11994	0.28103	0.43142	0.40057	0.34955	0.45645	0.13104	0.044672	0.38455	0.35793	0.35931	0.33259	0.30484	0.027614	0.00013569	0.095801	0.11258	0.13661	0.12937	0.0075107	0.063504	0.077655	0.15205	0.023727	0.00036448	0.014732	0.13553	0.2215	0.082362	0.10466	0.0033195	0.00040499	0.011303	0.027818	0.020235	0.011779	0.0053701	0.02704	0.010704	0.0062695	0.0014623	0.0002566	0.0013279	0.011637	0.014239	0.001083	0.030594	0.017918	0.00019209	0.00045289	0.00061357	0.006299	0.253	0.22159	0.22541
3	cp	base	1	0.30576	0.17105	0.10028	0.0013139	0.061125	0.013369	0.029317	0.019221	0.10002	0.015578	0.096605	0.27176	0.14801	0.19138	0.00084892	0.0010667	0.058426	0.052684	0.050165	0.06791	0.00063844	0.0026737	0.011591	0.0039303	0.047979	0.035742	0.0091134	0.05843	0.0040201	0.011249	0.020807	0.0080406	0.3175	0.027423	0.0081172	0.01436	0.0094142	0.055034	0.1669	0.17053	0.17237	0.31815	0.081505	0.0597	0.026858	0.11448	0.056317	0.10458	0.12258	0.037491	0.0107	0.063442	0.12114	0.015416	0.080575	0.14028	0.27168	0.1558	0.1061	0.088036	0.17869	0.00084866	0.0072559	0.12593	0.035949	0.084424	0.006054	0.024324	0.071843	0.089252	0.013925	0.0031501	0.011683	0.027058	0.00093726	0.045299	0.045192	0.0015426	0.011219	0.0326	0.018617	0.0071096	0.00078237	0.0070067	0.065046	0.0019702	0.0048857	0.00013066	0.0011614	0.0098404	0.047865	0.046236	0.011617	0.057551	0.017147	0.0021573	0.076055	0.036887	0.00080606	0.013855	0.0019844	0.040308	0.032222	0.027966	0.0067024	0.0006158	8.50E-06	0.019137	5.28E-05	0.10592	0.26552	0.1849	0.002653	0.10701	0.011297	0.020878	0.016619	0.009867	0.029608	0.098676	0.0084865	0.0208	0.033453	0.010329	0.0207	0.00023138	0.018178	0.075617
4	cp	base	1	0.11244	0.034531	0.030101	0.045384	0.022956	0.0035329	0.0050855	0.007455	0.020574	0.0093432	0.0041624	0.022256	0.0074051	0.0045813	0.00095554	0.0095022	0.081303	0.03952	0.05107	0.013279	0.076884	0.048524	0.098351	0.0092543	0.0022088	0.018863	0.017957	2.48E-06	0.0012505	0.0024679	0.017724	0.037516	0.055907	0.08108	0.027762	0.0011565	0.011227	0.0041988	1.91E-05	0.0022133	5.98E-05	0.0020922	0.00069861	0.0081908	0.016606	0.090501	0.11841	0.05788	0.072408	0.092932	0.11971	0.069498	0.075108	0.12342	0.07392	0.018615	0.025653	0.10239	0.0056629	0.00014759	0.0016102	0.00015237	0.073657	0.19136	0.070219	0.18873	0.089449	0.081978	0.015061	0.011891	0.00337	0.054312	0.016999	0.013742	0.17234	0.096158	0.13812	0.0841	0.076086	0.040202	0.073956	0.10633	0.10244	0.063077	0.077373	0.087543	0.038267	0.042746	0.075856	0.044316	0.076381	0.043383	0.043277	0.088907	0.049214	0.075383	0.052387	0.034027	0.02877	0.027961	0.0020628	0.050746	0.037428	0.17832	0.055906	0.072642	0.0033826	0.00092143	0.0077765	0.01706	0.0531	0.0064711	0.0077144	0.012814	0.032504	0.024104	0.011297	0.060502	0.14776	0.033179	0.024617	0.018449	0.0019699	0.011563	0.0031819	0.0051129	0.0030605	0.032633
5	cp	base	1	0.072693	0.019357	0.022239	0.00044464	0.10746	0.17633	0.19808	0.17794	0.13656	0.068031	0.032713	0.026846	0.00015292	0.018399	0.089039	0.1584	0.10498	0.13886	0.0040495	0.011631	0.035346	0.11653	0.21138	0.090501	0.0096049	0.0046676	0.021589	0.036325	0.0077597	0.00062488	0.00052164	0.0088618	0.073624	0.043893	0.0046164	0.00011796	0.0014348	0.0027591	0.023696	0.053128	0.037976	0.11844	0.10838	0.065165	0.0089724	0.20249	0.19721	0.09109	0.018947	0.00045873	0.0050063	0.030034	0.014074	0.016464	0.041356	0.10625	0.19519	0.20399	0.13586	0.18178	0.11301	0.069348	0.049083	0.018362	0.018785	0.0066656	0.066785	0.080461	0.030638	0.14386	0.09035	0.05023	0.075631	0.077804	0.071526	0.10157	0.050775	0.10431	0.079704	0.09108	0.047663	0.068026	0.06506	0.065985	0.091761	0.063984	0.049489	0.043416	0.063497	0.043268	0.040462	0.038048	8.81E-05	0.038504	0.025894	0.018651	0.011398	0.034285	0.036221	0.024311	0.0060986	0.0083583	0.056607	0.0061147	0.0060787	0.014152	0.032337	0.049404	0.035077	0.019922	0.0052931	0.028349	0.10699	0.060899	0.070032	0.033928	0.010596	0.012724	0.012015	0.00075421	0.051354	0.13465	0.12749	0.13082	0.15329	0.065651	0.027994	0.036904
6	cp	base	1	0.049871	0.11958	0.054735	0.17225	0.079873	0.0024798	0.0011994	0.044053	0.066353	0.13405	0.09928	0.10322	0.17373	0.20701	0.24609	0.1874	0.17065	0.049111	0.1786	0.12662	0.06165	0.16414	0.19761	0.26281	0.12982	0.22706	0.32455	0.19073	0.11908	0.10331	0.17069	0.31525	0.035116	0.081486	0.40045	0.084266	0.13871	0.14137	0.21469	0.19311	0.3159	0.033888	0.049628	0.087477	0.089314	0.038268	0.053752	0.066224	0.097526	0.073985	0.28266	0.40327	0.36722	0.27427	0.082205	0.019361	0.12497	0.029346	0.003457	0.1448	0.037993	0.0018557	0.15988	0.07499	0.16704	0.13241	0.019039	0.0064192	0.023795	0.00010461	0.0049927	2.62E-05	0.084736	0.033024	0.027072	0.022068	0.026036	0.12956	0.09773	0.057566	0.29032	0.20585	0.29364	0.154	0.075089	0.0010526	0.00069952	0.029167	0.10269	0.27484	0.33251	0.30038	0.18463	0.22368	0.15867	0.2196	0.042922	0.0253	0.076888	0.12325	0.10281	0.12864	0.13413	0.080924	0.043672	0.065346	0.034001	0.01074	0.00302	0.013919	0.064395	0.058233	0.00069749	0.0025693	0.020653	0.012183	0.022284	0.0013643	0.0027554	0.003755	0.000482	0.0054876	0.16213	0.10221	0.0019362	0.01862	0.002056	0.10665
7	cp	base	1	0.00067568	0.030932	0.17175	0.1874	0.18051	0.1874	0.2043	0.14028	0.16052	0.090185	5.57E-05	0.00021021	0.019027	0.00025211	0.1182	0.15552	0.17889	0.17337	0.18602	0.20202	0.18341	0.18582	0.081107	0.020376	0.19685	0.035686	0.25369	0.065048	0.12962	0.13767	0.14495	0.18149	3.37E-05	0.069946	0.099688	0.048203	0.065052	0.024939	0.00067324	0.036382	0.025709	0.11866	0.0065516	0.062416	0.037193	0.02019	0.047826	0.030882	0.091551	0.005691	0.011923	0.0077798	0.015367	0.0096536	0.033294	0.043585	0.052327	0.12268	0.050047	0.16998	0.11065	0.088173	0.047187	0.066312	0.0016118	0.026552	0.16258	0.14063	0.14882	0.14772	0.19618	0.11364	0.058104	0.052375	0.063824	0.13889	0.12081	0.12259	0.15536	0.15933	0.13882	0.13722	0.08124	0.076014	0.071233	0.062665	0.0023775	0.0284	0.034441	0.07076	0.10309	0.12469	0.25212	0.20163	0.15927	0.043475	0.03957	0.024692	0.088044	0.10989	0.0042627	0.083846	0.15268	0.25727	0.47197	0.40925	0.21857	0.13565	0.070702	0.00564	0.02804	0.11737	0.11297	0.012257	0.0014532	0.0059102	0.27794	0.10304	0.0088085	0.25946	0.087382	0.053788	0.025443	0.033623	0.23773	0.18218	0.099236	0.053097
8	cp	base	1	0.018575	0.034282	0.07145	0.068158	0.073214	0.019723	0.011899	0.082925	0.027923	0.013717	1.54E-07	0.00077338	0.00029726	0.00069885	0.0010064	0.0054413	0.00087798	8.51E-05	0.074184	0.049351	0.12396	0.0324	0.0097742	0.011829	0.005944	0.16488	0.21629	0.021314	0.0057213	0.00045662	0.10462	0.0070523	0.03149	0.028353	0.0010951	0.14178	0.069264	0.072738	0.10176	0.11548	0.12246	0.035702	0.026185	0.17863	0.11301	0.016831	0.02666	0.055796	0.020808	0.021382	0.0011635	0.0079794	0.0076235	0.14102	0.00025594	0.00061145	0.08476	0.033202	0.0021104	0.0032882	0.0021024	0.052296	0.052982	0.055863	0.0013951	0.021262	0.039016	0.022949	0.030788	0.14465	0.067015	0.029812	0.0001998	0.06488	0.16565	0.26496	0.059341	0.043618	0.0056507	0.0092599	0.035454	0.0151	0.098479	0.057566	0.074179	0.12617	0.012599	0.043971	0.086796	0.18686	0.037248	0.022777	0.1048	0.13687	0.1576	0.0003276	0.010182	0.029685	0.033178	0.01937	0.1493	0.00013395	0.0028827	0.0081318	0.0092554	0.070694	0.016554	0.032707	0.0075205	0.0059397	0.0019152	0.069719	0.0017345	0.012676	0.096112	0.058822	0.13477	0.11875	2.83E-05	0.0087028	0.080029	0.1614	0.0022168	2.81E-05	0.039336	0.075612	0.030444	0.00073213
9	cp	base	1	0.039293	0.046328	0.047926	0.013157	0.042082	0.10924	0.12622	0.036295	0.03145	0.032609	0.034042	0.036125	0.035279	0.037654	0.032946	0.033968	0.040636	0.032445	0.020685	0.024081	0.021165	0.022524	0.022495	0.021303	0.02303	0.016387	0.015492	0.0036249	0.0025252	0.0042114	0.0031891	0.015432	0.024263	0.0023155	0.087556	0.034066	0.0011911	0.005386	0.043629	0.044999	0.041312	0.063655	0.004383	0.0062643	0.010683	0.018304	0.015294	0.021827	0.12894	0.19337	0.15495	0.026282	0.094278	0.19461	0.14351	0.0048329	0.010037	0.0092515	0.0083366	0.045653	0.00013218	0.032942	0.040999	0.039636	0.032655	0.039893	0.0025129	0.001969	0.011642	0.0027237	0.00092886	0.016273	0.012934	0.065776	0.0037188	9.27E-05	0.0012964	0.010182	0.024117	0.0053102	0.0019675	0.00019537	0.00013448	0.00047046	0.0014966	0.0033951	0.0042798	0.022529	0.013176	0.024017	0.0065745	6.39E-05	0.037064	0.025433	0.0043133	0.0015266	0.045707	0.044131	0.017318	0.020353	0.026691	0.013752	0.0011034	0.00041095	0.00034035	0.088252	0.05209	0.05189	0.038576	0.049407	0.045354	0.12998	0.16816	0.059916	0.051646	0.20828	0.12836	0.11917	0.12014	0.18259	0.18147	0.16848	0.15379	0.1818	0.059725	0.029492	0.017526	0.021501
10	cp	base	1	0.10447	0.091401	0.099096	0.11259	0.058249	0.031832	0.03612	0.026714	0.0057386	0.0043748	0.022261	0.077728	0.11547	0.10961	0.048288	9.53E-05	0.0083526	0.034346	0.083731	0.057852	0.0036461	0.0038195	0.0079888	0.015972	0.054963	0.00011385	0.0011208	0.00011565	0.087833	0.13605	0.21745	0.19012	0.0052494	0.15281	0.16999	0.22791	0.28187	0.10977	0.034843	0.0034762	0.01592	0.070023	0.14097	0.2703	0.28844	0.09282	0.10134	0.044047	0.10817	0.097119	0.10405	0.026934	0.00044389	0.0050298	0.00012461	0.0032319	0.053753	0.021797	0.011646	1.37E-08	0.010112	0.001203	0.0016034	0.0022954	0.022238	0.013606	0.016422	0.014772	0.02158	0.018138	0.041333	0.029744	0.069948	0.0043644	0.017865	0.00096451	0.014645	0.0038253	0.020594	0.0098091	0.0036028	0.0064612	0.0075654	0.0053961	0.00094811	0.043524	0.083372	0.022645	0.0091592	0.0067727	0.0074665	0.027399	0.0054284	0.036899	0.0173	0.053519	0.10417	0.029092	0.38882	0.41762	0.37871	0.21913	0.18254	0.08835	0.13337	0.27548	0.31971	0.12906	0.0010515	0.0033425	6.34E-05	0.002422	0.0037031	3.02E-05	0.014952	0.065918	0.15654	0.09309	0.071991	0.12534	0.15718	0.10295	0.034912	0.0027625	0.064852	0.06944	0.043967	0.065015
11	cp	base	1	0.33086	0.18514	0.25411	0.1064	0.1212	0.053526	0.01146	0.0047237	0.0011577	0.0022933	0.001529	0.026157	0.0007198	0.0085521	0.09343	0.06951	0.030739	0.066236	0.098612	0.067037	0.13919	0.18065	0.054976	0.10088	0.13327	0.076922	0.11279	0.017066	0.017677	0.076224	0.016694	0.031641	0.00070501	0.0098502	0.099092	0.068469	0.049602	0.16884	0.11277	0.10571	0.048931	0.052449	0.17467	0.096502	0.018969	0.13463	0.004129	0.0062665	0.020178	0.0026443	0.0068679	0.001163	0.00076287	0.0051047	0.034497	0.01865	0.0039373	0.012141	0.07518	0.014353	0.014829	0.0015054	0.00047774	0.0073928	0.33833	0.029088	0.00016016	0.00095361	0.017706	0.037682	0.099535	0.00028306	8.47E-07	0.0001335	0.017125	0.0056462	0.0092378	0.0066551	0.017048	0.017887	0.001803	0.0072568	0.0011548	0.00027283	0.0089043	0.076242	0.031371	0.034509	0.0044574	0.00078632	0.0032094	1.56E-06	4.67E-05	0.0015194	0.029459	0.028433	0.28594	0.16103	0.020071	0.040035	0.05367	0.035686	0.00047799	0.17547	0.12209	0.20127	0.18209	0.087503	0.17273	0.38553	0.29368	0.22628	0.094208	0.30505	0.38373	0.1218	0.092601	0.083771	0.12315	0.00077372	0.0021881	0.028617	0.020206	0.00017116	0.01478	0.016163	0.00026267	0.0071198
1	cp	eval	2	0.00049386	0.00038579	0.00012367	0.0037142	0.017516	0.05435	0.040404	0.010744	0.010169	0.0042562	0.011813	0.051709	0.0025757	0.00013368	0.0075667	0.0088753	0.0029743	0.016047	0.028188	0.054165	0.045956	0.078053	0.0546	0.076391	0.007255	0.033715	0.05357	0.17692	0.31012	0.34833	0.21826	0.056085	0.0018223	0.0034446	0.0095337	0.094853	0.22329	0.17842	0.086941	0.021874	0.024568	0.041602	0.042482	0.12056	0.099874	0.058329	0.093985	0.1625	0.0060903	0.26842	0.082364	0.12029	0.067035	0.34316	0.15512	0.0016902	0.00045514	0.027503	0.057327	0.0054603	0.087685	0.15417	0.28667	0.037253	0.0010881	0.054634	0.18468	0.02148	0.25504	0.080715	0.086289	0.10801	0.035961	0.05077	0.087783	0.022027	0.0017502	0.0067518	0.017578	0.015823	0.0013839	0.0022021	0.012996	0.0012841	0.010147	0.035264	0.083871	0.11037	0.16419	0.0015009	0.002605	0.0024055	0.00025416	0.0060999	0.021065	0.0041755	0.003668	0.069066	0.0088203	0.057943	0.0043071	0.036252	0.024901	0.00018392	0.00091088	0.00027036	0.021397	0.035606	0.025854	0.0058117	0.00068334	0.00032638	0.018938	0.00092228	0.0347	0.0011373	0.00017963	0.013465	0.0039043	0.0031714	0.00070861	0.00027477	0.0017195	0.0044054	0.0025935	0.0048377	2.72E-05	0.0018637
2	cp	eval	2	0.072953	0.042509	0.029306	0.011098	0.0023786	0.0016151	0.00076925	2.66E-05	0.051462	0.047028	0.040563	0.03739	0.10475	0.03227	0.078002	0.048857	0.0059746	5.69E-05	0.044427	0.062626	0.083468	0.06722	0.044984	0.14595	0.11131	0.090802	0.17222	0.14781	0.15038	0.008743	0.0153	0.066775	0.06852	0.094576	0.031726	0.040487	0.0021292	0.064893	0.050199	0.082291	0.030751	0.0097241	0.011784	0.0015649	0.00059821	0.12364	0.23142	0.20783	0.0208	0.0044808	0.030151	0.0394	0.062722	0.021146	0.21532	0.27944	0.27267	0.27573	0.40552	0.24756	0.18275	0.1692	0.0076045	0.0025124	0.027177	0.03011	0.049492	0.010345	0.10971	0.23439	0.28698	0.10949	0.082901	0.081879	0.020461	0.0023471	2.50E-07	0.012523	0.0047463	0.0061138	0.013728	0.0063073	0.00043559	0.04056	0.0083888	0.025732	0.010946	0.21185	0.11295	0.099767	0.069885	0.0052442	0.0073546	0.028155	0.011094	3.19E-05	0.013938	0.11696	0.13468	0.050479	0.0067869	0.025118	0.040976	0.0082978	0.0031808	0.0097813	0.0025785	0.058821	0.080099	0.034091	0.020726	0.022671	0.010051	0.002697	0.00054451	0.0076197	0.0010782	0.04138	8.24E-05	0.0063317	0.0065268	0.0014015	0.0062254	0.001015	0.00027783	0.0015901	0.019361	0.075097
3	cp	eval	2	0.0002595	0.013723	1.22E-05	0.00033262	0.00024822	0.008995	0.025374	0.00010067	0.0053256	0.015141	0.00044053	1.19E-05	0.0055641	0.012851	0.050025	0.055184	0.076539	0.00020486	0.0033506	0.053774	0.12896	0.16808	0.12221	0.061129	0.070022	0.13153	0.18167	0.11141	0.20351	0.20576	0.077156	0.00095049	0.004685	0.05904	0.20073	0.11938	0.066817	0.12127	0.11382	0.13269	0.14733	0.229	0.23214	0.040551	0.0025842	0.018665	0.05195	0.12444	0.26329	0.34233	0.31584	0.022165	0.1075	0.15083	0.080221	0.03707	0.089077	0.00015643	0.0095079	0.0064008	0.025592	0.0072513	0.0070776	1.89E-05	0.0033638	8.55E-05	0.00010799	0.011012	0.0032438	0.070122	0.041414	0.067216	0.010119	0.034772	0.002111	0.0047955	0.012455	0.02723	0.0080803	0.025687	0.034962	0.018089	0.021551	0.0076895	0.015104	0.012777	5.01E-05	0.020618	0.002767	0.010475	0.072532	0.013774	0.041917	0.019606	0.012955	0.011031	0.00012949	0.027098	0.0085499	0.0047394	0.03368	0.0069755	0.0028495	0.0060895	0.0092011	0.00064857	0.00010441	0.010171	0.066918	0.015915	0.0070159	0.0081051	0.0054699	0.0028849	0.046629	0.045715	0.069373	0.22198	0.051417	0.030306	0.31715	0.22189	0.10827	0.059087	0.11696	0.044904	0.008249	0.00093652
