subjid	cond	time	pair	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
1	cp	base	1	0.10015	0.10489	0.00048739	0.0019329	0.010276	0.0017064	0.065326	0.22994	0.25301	0.14462	0.14384	0.12493	0.023433	0.042321	0.2381	0.084812	0.099555	0.043024	2.10E-06	9.85E-08	0.00041387	0.013251	0.024437	0.015638	0.016508	0.073808	0.03669	0.00071879	2.79E-06	0.00010603	0.089988	0.055389	0.077328	0.030995	0.094073	0.15096	0.11464	0.052309	0.097145	0.14208	0.12335	0.24743	0.13984	0.16955	0.17418	0.13737	0.15385	0.15495	0.16791	0.12332	0.12274	0.0061843	0.090159	0.091946	0.1244	0.065823	0.051845	0.052348	0.00054648	0.012567	0.011383	0.0049004	0.010612	0.0014371	0.075031	0.10163	0.13671	0.1659	0.31998	0.33009	0.11486	0.22502	0.13274	0.13668	0.10376	0.12017	0.071162	0.067131	0.015966	0.027724	0.036674	0.0034393	0.038395	0.075765	0.099608	0.1034	0.090439	0.18768	0.10806	0.066587	0.0056674	0.00077342	0.00043477	0.015918	0.014613	0.07427	0.16733	0.15043	0.070514	0.067425	0.038419	0.0014658	0.026794	0.0068868	0.02717	0.085377	0.15235	0.23887	0.2055	0.17036	0.20868	0.15244	0.12795	0.34659	0.53525	0.42879	0.17656	0.022337	0.040051	0.072123	0.035796	0.30847	0.10864	0.17639	0.047902	0.1041	0.04105	0.037239
2	cp	base	1	0.00042369	0.0062808	0.0073245	0.0026562	0.0001428	0.0115	0.010023	0.0014671	0.00062767	0.00015488	3.14E-05	0.00081551	0.0075978	0.0093851	0.00779	0.0062322	0.00027624	0.015732	0.00053691	0.0095974	0.00045924	0.00038599	0.0077738	0.003643	0.0032116	0.0014808	0.0012483	0.00027132	0.025406	0.0004877	0.0035534	0.0010215	0.015485	0.016489	0.028302	0.0026159	0.0071776	0.0046963	0.0072408	0.0038738	0.0156	0.02011	0.011077	0.011572	0.017654	0.020874	0.0016289	1.87E-05	0.0049448	0.025194	0.081426	0.034423	0.035968	0.00072116	0.0013057	0.013398	0.0050327	0.0081876	0.0038527	0.0072986	0.0077263	0.0023933	8.16E-05	0.00029904	0.0020317	3.80E-05	0.0080059	0.0025116	0.014109	0.00087471	0.026624	0.0012757	0.03435	0.043114	0.0096173	0.0050897	0.0011285	0.019863	0.00053969	0.011575	0.0040624	0.0030039	0.0025571	0.0017451	0.00013312	0.00051318	0.008564	0.019275	0.023222	0.049863	0.0041969	0.0012334	0.0085403	0.0043117	0.00062468	0.038088	0.0093627	0.026884	0.00043916	0.06985	0.00064969	0.029058	0.02813	0.07395	0.083639	0.0096488	0.00096631	2.11E-05	0.01386	7.85E-10	0.001057	0.0015083	0.017281	0.019843	0.074843	0.078719	0.022955	0.027001	0.00828	0.014499	0.016584	0.14258	0.12467	0.057107	0.0029786	0.011203	0.015246	0.0059526
3	cp	base	1	2.81E-05	0.002474	0.030689	0.067144	0.13063	0.19599	0.21714	0.16783	0.055582	0.016606	0.0005365	0.062157	6.70E-05	0.00060275	0.045835	0.098537	0.15127	0.15805	0.07199	0.086865	0.10751	0.027722	0.010542	0.00068839	0.0084111	0.068643	0.00054296	0.09125	0.0017609	0.0021457	0.0030225	0.0093885	0.0057346	0.011417	0.016288	0.017811	0.010028	0.083547	0.18249	0.044523	0.020888	0.061675	0.059151	0.04736	0.054805	0.00026158	0.096351	0.024465	0.023485	0.0085458	0.0023347	0.0051351	0.014614	0.00012415	0.0029452	0.074505	0.1688	0.0055411	0.035509	0.032056	0.041999	0.025456	0.080665	0.028397	0.099567	0.1412	0.019874	0.032161	0.028805	0.019718	0.050994	0.004907	0.03309	0.040756	0.024983	0.11082	0.021697	0.010011	0.11093	0.0013915	0.023446	0.05721	0.066393	0.13792	0.023796	0.058298	0.19835	0.10605	0.0053723	0.1109	0.05621	0.056438	0.0043644	0.017579	0.06386	0.016902	0.46936	0.32288	0.030755	0.015244	0.00030439	0.025946	0.031302	8.29E-06	0.00029019	0.021491	0.0071546	0.07938	0.15388	0.25182	0.15985	0.0014571	0.065724	0.19905	0.034804	0.12712	0.015538	0.00023371	0.046	0.136	0.017965	0.029351	0.15417	0.16616	0.066844	0.00060005	0.094515	0.042217
4	cp	base	1	0.025961	0.011077	0.00053285	0.0012735	0.026218	0.05549	0.053107	0.020349	0.025744	0.0016045	0.001422	0.002211	0.005015	0.0052362	0.00099642	0.088835	0.08872	0.051521	0.0076044	0.018153	0.025998	0.013985	0.016243	0.0018915	0.0078944	0.02193	0.014165	0.00085191	0.00085862	0.0056915	0.011858	0.016484	0.016061	0.014063	0.054165	0.035168	3.53E-05	0.0016913	0.013202	0.00030562	0.00044011	0.0044484	0.010035	0.00015764	0.013968	0.016624	0.059241	0.081997	0.067417	0.077355	0.081222	0.016333	0.045112	0.099165	0.12007	0.14112	0.16275	0.20764	0.19735	0.13521	0.12049	0.11649	0.076002	0.045029	0.009077	0.044493	0.025417	0.029715	0.014793	0.065557	0.075592	0.00020809	0.0020115	0.0015437	0.036291	0.0089518	0.00050325	0.0010822	0.024106	0.037848	0.0015906	0.00028264	0.0030624	0.0007583	0.0036597	0.0017766	0.00075938	0.0035575	2.02E-05	0.00047996	0.00025659	0.00088031	0.0024122	0.021663	0.0012676	0.0035802	0.0078357	0.0078713	0.046898	0.03961	0.10518	0.18204	0.17759	0.12183	0.17252	0.1598	0.18694	0.12929	0.020602	0.087895	0.0043641	0.001977	0.034533	0.092144	0.17017	0.1661	0.1651	0.18816	0.058781	0.050131	0.06155	0.14432	0.13982	0.13056	0.04619	0.058856	0.055422	0.011423
5	cp	base	1	0.032132	0.010411	0.010422	0.0095104	0.0036155	0.0071133	0.0010018	0.0012779	0.0003962	0.0010332	0.013886	0.031601	0.014689	0.00016858	0.0042805	0.00161	0.0002552	3.57E-05	0.0018457	0.0014602	0.0057654	0.011898	0.018118	0.02661	0.038274	0.096549	0.075582	0.042693	0.022143	0.022839	0.007821	0.0031487	0.01591	0.0031998	0.0044811	0.0088399	0.025079	0.021993	0.030659	0.056315	0.086883	0.042316	0.036989	0.028957	0.014013	0.02228	9.81E-05	0.0016976	0.0008978	2.96E-05	6.34E-07	3.31E-05	0.0030697	0.0027433	0.030705	0.013065	0.0058506	0.00033491	0.0045138	0.048311	0.014666	0.0078021	0.00025825	0.0047054	0.051361	0.027784	0.016134	0.043132	1.21E-07	0.010362	0.0012249	0.022559	0.010857	0.038301	0.038401	0.015784	0.045395	0.062683	0.073537	0.057049	0.05237	0.051896	0.03812	0.044102	0.0578	0.049761	0.075231	0.06867	0.11467	0.052969	0.048276	0.053133	0.031877	0.033892	0.034699	0.047373	0.056035	0.091961	0.058675	0.057329	0.024304	0.026518	0.0035536	0.000328	0.0005221	0.0025745	0.028929	0.055756	0.0588	0.039907	0.040229	0.026588	0.026535	0.034453	0.0093473	0.057355	0.0024899	0.00010608	0.00077119	0.00050652	5.50E-05	0.0016984	0.0082533	0.012221	0.00065303	0.0034769	0.0085575	0.0033324
6	cp	base	1	0.051172	0.20495	0.31476	0.38725	0.45222	0.44845	0.13412	0.0012873	0.12355	0.01599	0.012641	0.28284	0.041679	0.03042	0.019304	0.095451	0.10752	0.3416	0.43596	0.42744	0.32942	0.087599	0.01049	0.053552	0.30381	0.094301	0.031682	0.00011031	0.18584	0.19084	0.43641	0.37786	0.26411	0.1536	0.15416	0.30952	0.04793	0.01973	0.0466	0.063202	0.10302	0.11524	0.28881	0.050201	0.036098	0.067804	0.20126	0.15622	0.15878	0.13026	0.16102	0.17012	0.006565	0.035908	0.0907	0.18348	0.29827	0.21536	0.030074	5.63E-05	0.00074924	0.28415	0.0021966	0.033796	0.08748	0.045764	0.011109	0.30292	0.018808	0.011414	0.0073338	0.030244	0.334	0.17719	0.015726	0.087213	0.21626	0.10196	0.035868	0.0074634	0.11326	0.01114	0.0050889	0.04025	0.013407	0.015595	0.16241	0.026304	0.0013838	0.0065125	0.011209	0.031937	0.0034204	0.03494	0.0287	0.0063088	0.089124	0.096268	0.0032277	0.0034277	0.17971	0.057039	0.0055025	0.37759	0.50595	0.053592	0.040123	0.10911	0.26286	0.21762	0.15014	0.3225	0.37489	0.29225	0.17021	0.016278	0.2784	0.33062	0.0023768	0.14258	0.16492	0.14176	0.095519	0.35101	0.015995	0.0068104	0.063049	0.082187
7	cp	base	1	0.01825	0.068223	0.13428	0.18752	0.11474	0.055277	0.08184	0.10215	0.011601	0.00070974	0.21001	0.18624	0.084431	0.059828	0.00076184	0.071107	0.096903	0.069513	0.18093	0.20271	0.15034	0.16079	0.093711	0.0075877	0.0021447	0.14594	0.007043	0.22882	0.40805	0.39997	0.40324	0.40438	0.15228	0.0045447	0.35628	0.47643	0.50261	0.23292	0.21996	0.013652	0.02659	0.067398	0.048764	0.12809	0.14447	7.84E-05	0.0045327	0.0018088	0.00068369	0.0011668	0.015398	0.10552	0.00052399	0.0029296	0.029852	0.061111	0.040555	0.0029942	0.082515	0.04694	0.026323	0.041966	0.048224	0.033915	0.072465	0.088556	0.0042372	0.003036	0.014853	0.0007488	0.015032	0.087809	0.19565	0.11029	0.028635	0.0012455	0.01593	0.07392	0.079006	0.09984	0.15486	0.070202	0.19311	0.031837	0.0069225	0.0037035	0.014206	0.056346	0.025471	0.015893	0.075039	0.14487	0.0010136	0.014434	0.022491	0.10263	0.070871	0.033317	0.0020847	0.23052	0.11414	0.012906	0.038486	0.013474	0.0057771	0.00012196	0.059649	0.091222	0.0014949	0.07623	0.042861	0.031286	0.0022096	0.055977	0.056773	4.00E-05	0.0030846	6.64E-05	0.0060403	0.053313	0.0057791	0.010875	0.012472	0.0063629	0.053424	0.001046	0.016784	7.79E-05
8	cp	base	1	0.012616	0.024195	0.0046605	0.10184	0.003198	0.090938	0.10169	0.13051	0.18247	0.11716	0.074918	0.10667	0.13507	0.12133	0.11817	0.14729	0.068032	0.074517	0.11396	0.011642	0.014525	0.010529	0.083687	0.098594	0.091109	0.24324	0.2617	0.22896	0.1419	0.095811	0.02053	0.058185	0.0081742	0.00048516	0.10101	0.010113	0.045902	0.16486	0.093802	0.099561	0.085912	0.0016419	0.012532	0.009736	0.0040772	0.15449	0.019934	0.060727	0.074701	0.004407	0.00010545	0.024942	0.017073	0.033341	0.048302	0.068881	0.09944	0.12898	0.28913	0.35281	0.28362	0.067697	0.0025829	0.0040668	0.00045857	0.12301	0.048678	0.037372	0.0014084	0.12272	0.27688	0.065138	0.17491	0.0049533	0.063696	0.074325	0.018267	0.038709	0.010708	0.009869	0.0058795	0.0060679	0.00014113	0.021689	0.043819	0.058567	0.092377	0.026222	0.0055422	0.0005694	0.012675	0.058527	0.033426	0.10954	0.12765	0.014953	0.0048779	0.029151	0.012072	0.014134	0.045049	0.35287	0.42959	0.12012	0.10795	0.32052	0.050244	0.042455	0.00080607	0.010368	0.0097154	0.0023282	0.094957	0.16965	0.28901	0.29957	0.4269	0.092654	0.022958	0.0080142	0.11906	0.19706	0.29476	0.28446	0.18651	0.10907	0.054727	0.022988
9	cp	base	1	0.0021156	0.0025637	0.00084057	0.2001	0.0016118	0.0014963	0.0051311	0.24044	0.2348	0.22713	0.22383	0.22692	0.25061	0.24914	0.25109	0.242	0.23327	0.096695	0.19133	0.27977	0.2814	0.28526	0.26811	0.28005	0.2774	0.20868	0.20978	0.27968	0.28636	0.28235	0.29315	0.028024	0.011055	0.031676	0.0037618	0.0030625	0.077978	0.16329	0.15876	0.15434	0.1558	0.070992	0.00027078	0.000295	0.0035238	0.00041838	0.00036521	0.0056933	0.0071062	0.050543	0.11201	0.0061751	0.022281	0.0090021	0.010941	0.0027798	0.0005054	0.025983	0.15435	0.05531	0.026562	0.0046336	0.0033648	0.0068717	0.0054901	0.00423	0.067208	0.087851	0.073412	0.017417	0.22842	0.17608	0.18921	0.15464	0.072097	0.08521	0.13549	0.13453	0.23196	0.05927	0.020306	0.10594	0.10971	0.10197	0.072877	0.072019	0.060138	0.054486	0.054322	0.059312	0.047744	0.0482	0.025793	0.05277	0.034585	0.00040735	0.0043543	0.0031688	0.049512	0.051512	0.052777	0.098113	0.013859	0.030377	0.038157	0.030034	8.52E-05	0.0010131	0.0050433	0.00025515	0.0016699	0.016506	0.093382	0.00056459	0.00060589	0.048101	0.031625	0.029624	0.037604	0.014224	0.027561	0.021351	0.10146	0.08945	0.022028	0.14209	0.15742	0.15951
10	cp	base	1	0.035367	0.095654	0.093679	0.16911	0.13687	0.033973	0.060925	0.11574	0.11774	0.033552	0.029883	0.010325	0.0082454	0.017079	0.045371	0.11462	0.11234	0.12969	0.14056	0.13157	0.073841	0.10047	0.021705	0.011639	0.03971	0.019046	0.021573	0.016341	0.028358	0.062453	0.16267	0.22071	0.002438	0.10196	0.30408	0.21439	0.13248	0.06208	0.013622	0.0068383	7.57E-06	0.002323	0.012299	0.042225	0.145	0.12714	0.13522	0.19193	0.27925	0.23481	0.2726	0.081657	0.17788	0.16843	0.29831	0.3942	0.17188	0.13076	0.083436	0.29304	0.28048	0.21168	0.20717	0.20044	0.0086173	0.076541	0.1545	0.13697	0.11101	0.07982	0.043276	0.12275	0.20346	0.18337	0.14146	0.17423	0.24055	0.23339	0.37829	0.18629	0.32726	0.27615	0.32658	0.28061	0.19187	0.20024	0.10152	0.13385	0.21685	0.21698	0.32819	0.31963	0.27569	0.087029	0.13696	0.2055	0.031775	0.047004	0.22924	0.19656	0.013815	0.0026006	0.00025792	0.0043605	0.00027804	0.0073404	0.019685	0.029005	0.06787	0.032451	0.054595	0.047826	0.0010858	0.016982	0.0053074	4.96E-05	0.0026194	0.011529	0.024375	0.067304	0.089595	0.024784	0.0010902	0.0007248	0.053747	0.064535	0.03826	0.045685
