base	eval	sensor	source
0.0863	0.06625	0.0609	0.0636
0.08335	0.0706	0.05835	0.059433333
0.0642	0.03795	0.0734	0.0666
0.0831	0.0589	0.0392	0.04375
0.081	0.06875	0.037225	0.03235
0.07935	0.07145	0.042075	0.03975
0.04225	0.04995	0.0651	0.0778
0.0634	0.0721	0.075066667	0.073525
0.1002725	0.04285	0.029775	0.0533
0.06765	0.07275	0.028525	0.027325
0.0718	0.0739	0.03595	0.0219975
0	0	0.053525	0.03785425
0	0	0.0788	0.029179
0	0	0.04	0.0502025
0	0	0.0838	0.0828
0	0	0.06115	0.07785
0	0	0.029725	0.065642
0	0	0.051425	0.046143
0	0	0.076633333	0.057433333
0	0	0.052875	0.02255
0	0	0.056225	0.04935
0	0	0.03805	0.0437
0	0	0.071566667	0.081225
0	0	0.046066667	0.046066667
0	0	0.0633	0.064966667
0	0	0.052725	0.0474
0	0	0.0606	0.0538
0	0	0.05365	0.03265
0	0	0.043125	0.03515
0	0	0.041575	0.05615
0	0	0.040375	0.066625
0	0	0.04965	0.0553
0	0	0.035775	0.040975
0	0	0.044125	0.042525
0	0	0.032975	0.05155
0	0	0.034225	0.033225
0	0	0.061675	0.059425
0	0	0.04515	0.0607
0	0	0.074625	0.052325
0	0	0.078875	0.063425
0	0	0.07445	0.066775
0	0	0.060025	0.076575
0	0	0.052675	0.05935
0	0	0.0792	0.049775
0	0	0.070233333	0.045533333
