subjid	paradigm	cond	time	pair	pair2	var
1	cp	cp	base	1	1	0.0051
1	cp	cp	eval	2	2	0.005
1	dt	cp	base	3	3	0.3008
1	dt	cp	eval	4	4	0.0318
2	cp	cp	base	1	1	0.0062
2	cp	cp	eval	2	2	0.0082
2	dt	cp	base	3	3	0.0345
2	dt	cp	eval	4	4	0.01762
3	cp	cp	base	1	1	0.0043
3	cp	cp	eval	2	2	0.005
3	dt	cp	base	3	3	0.183
3	dt	cp	eval	4	4	0.0337
4	cp	cp	base	1	1	0.0022
4	cp	cp	eval	2	2	0.0002
4	dt	cp	base	3	3	0.0837
4	dt	cp	eval	4	4	0.1169
5	cp	cp	base	1	1	0.0029
5	cp	cp	eval	2	2	0.0047
5	dt	cp	base	3	3	0.0516
5	dt	cp	eval	4	4	0.3208
6	cp	cp	base	1	1	0.0064
6	cp	cp	eval	2	2	0.0001
6	dt	cp	base	3	3	0.0172
6	dt	cp	eval	4	4	0.0157
7	cp	cp	base	1	1	0.0021
7	cp	cp	eval	2	2	0.0005
7	dt	cp	base	3	3	0.0313
7	dt	cp	eval	4	4	0.0154
8	cp	cp	base	1	1	0.0108
8	cp	cp	eval	2	2	0.0036
8	dt	cp	base	3	3	0.1922
8	dt	cp	eval	4	4	0.0425
9	cp	cp	base	1	1	0.0021
9	cp	cp	eval	2	2	0.0019
9	dt	cp	base	3	3	0.0427
9	dt	cp	eval	4	4	0.1899
10	cp	cp	base	1	1	0.0039
10	cp	cp	eval	2	2	0.0055
10	dt	cp	base	3	3	0.0056
10	dt	cp	eval	4	4	0.1348
11	cp	cp	base	1	1	0.003
11	cp	cp	eval	2	2	0.0062
11	dt	cp	base	3	3	0.0951
11	dt	cp	eval	4	4	0.0827
12	cp	dt	base	5	1	0
12	cp	dt	eval	6	2	0.0007
12	dt	dt	base	7	3	0.0626
12	dt	dt	eval	8	4	0.0589
13	cp	dt	base	5	1	0.0089
13	cp	dt	eval	6	2	0.017
13	dt	dt	base	7	3	0.1773
13	dt	dt	eval	8	4	0.415
14	cp	dt	base	5	1	0.0013
14	cp	dt	eval	6	2	0.0058
14	dt	dt	base	7	3	0.0024
14	dt	dt	eval	8	4	0.0603
15	cp	dt	base	5	1	0.0082
15	cp	dt	eval	6	2	0.0075
15	dt	dt	base	7	3	0.20333
15	dt	dt	eval	8	4	0.0004
16	cp	dt	base	5	1	0.0006
16	cp	dt	eval	6	2	0.0027
16	dt	dt	base	7	3	0.1074
16	dt	dt	eval	8	4	0.1128
17	cp	dt	base	5	1	0.0057
17	cp	dt	eval	6	2	0.0034
17	dt	dt	base	7	3	0.164
17	dt	dt	eval	8	4	0.0229
18	cp	dt	base	5	1	0.0047
18	dt	dt	base	7	3	0.2758
18	dt	dt	eval	8	4	0.1087
19	cp	dt	base	5	1	0.0049
19	cp	dt	eval	6	2	0.018
19	dt	dt	base	7	3	0
19	dt	dt	eval	8	4	0.0296
20	cp	dt	base	5	1	0.0034
20	cp	dt	eval	6	2	0.004
20	dt	dt	base	7	3	0.3714
20	dt	dt	eval	8	4	0.2155
21	cp	dt	base	5	1	0.0311
21	cp	dt	eval	6	2	0.0017
21	dt	dt	base	7	3	0.1646
21	dt	dt	eval	8	4	0.2044
22	cp	dt	base	5	1	0.0024
22	cp	dt	eval	6	2	0.0017
22	dt	dt	base	7	3	0.0717
22	dt	dt	eval	8	4	0.0837
