subjid	cond	time	pair	maxLR	maxUD
1	cp	base	1	0.2941	0.5353
2	cp	base	1	0.4314	0.1426
3	cp	base	1	0.3175	0.4694
4	cp	base	1	0.1914	0.1869
5	cp	base	1	0.1981	0.1147
6	cp	base	1	0.4033	0.4522
7	cp	base	1	0.4092	0.4764
8	cp	base	1	0.2650	0.4269
9	cp	base	1	0.2083	0.2931
10	cp	base	1	0.3888	0.3942
11	cp	base	1	0.3855	0.3312
1	cp	eval	2	0.3432	0.5963
2	cp	eval	2	0.2794	0.5618
3	cp	eval	2	0.3423	0.7555
4	cp	eval	2	0.3042	0.5221
5	cp	eval	2	0.2462	0.2969
6	cp	eval	2	0.3244	0.8966
7	cp	eval	2	0.3911	0.4069
8	cp	eval	2	0.3986	0.333
9	cp	eval	2	0.3298	0.4965
10	cp	eval	2	0.3679	0.7308
11	cp	eval	2	0.6506	0.6329
12	dt	base	3	0.3011	0.3727
13	dt	base	3	0.3231	0.3585
14	dt	base	3	0.5262	0.4444
15	dt	base	3	0.3577	0.5625
16	dt	base	3	0.3562	0.2399
17	dt	base	3	0.3193	0.4394
18	dt	base	3	0.2408	0.2893
19	dt	base	3	0.2117	0.3237
20	dt	base	3	0.4664	0.2903
21	dt	base	3	0.2757	0.4887
22	dt	base	3	0.3071	0.6836
12	dt	eval	4	0.1557	0.3416
13	dt	eval	4	0.6454	0.4813
14	dt	eval	4	0.3322	0.3434
15	dt	eval	4	0.5022	0.4325
16	dt	eval	4	0.5547	0.5202
17	dt	eval	4	0.2027	0.7868
18	dt	eval	4	0.4866	0.7163
19	dt	eval	4	0.3154	0.6546
20	dt	eval	4	0.5448	0.7674
21	dt	eval	4	0.4176	0.523
22	dt	eval	4	0.5130	0.8034
