subjid	cond	time	pair	2D
1	Cursor	1	1	0.239843885
1	Cursor	2	2	0.11134069
1	Cursor	3	3	0.107665467
2	Cursor	1	1	0.219892797
2	Cursor	2	2	0.278703614
2	Cursor	3	3	0.273788791
3	Cursor	1	1	0.214598074
3	Cursor	2	2	0.205892713
3	Cursor	3	3	0.329901534
4	Cursor	1	1	0.314388685
4	Cursor	2	2	0.230713324
4	Cursor	3	3	0.199637486
5	Cursor	1	1	0.074489131
5	Cursor	2	2	0.132937724
5	Cursor	3	3	0.087983163
6	Cursor	1	1	0.177717347
6	Cursor	2	2	0.110974782
6	Cursor	3	3	0.225507371
1	Robot	1	4	0.163445765
1	Robot	2	5	0.239778678
1	Robot	3	6	0.214137808
2	Robot	1	4	0.270676325
2	Robot	2	5	0.266510548
2	Robot	3	6	0.249217447
3	Robot	1	4	0.210021256
3	Robot	2	5	0.257157851
3	Robot	3	6	0.281462173
4	Robot	1	4	0.316185552
4	Robot	2	5	0.264211956
4	Robot	3	6	0.435153648
5	Robot	1	4	0.189315182
5	Robot	2	5	0.151078839
5	Robot	3	6	0.18333961
6	Robot	1	4	0.162990673
6	Robot	2	5	0.176807516
6	Robot	3	6	0.161306558
