subjid	cond	time	pair	2D
1	Cursor	1	1	0.239843885
1	Cursor	2	2	0.11134069
1	Cursor	3	3	0.107665467
2	Cursor	1	1	0.219892797
2	Cursor	2	2	0.278703614
2	Cursor	3	3	0.273788791
3	Cursor	1	1	0.214598074
3	Cursor	2	2	0.205892713
3	Cursor	3	3	0.329901534
4	Cursor	1	1	0.314388685
4	Cursor	2	2	0.230713324
4	Cursor	3	3	0.199637486
5	Cursor	1	1	0.074489131
5	Cursor	2	2	0.132937724
5	Cursor	3	3	0.087983163
6	Cursor	1	1	0.177717347
6	Cursor	2	2	0.110974782
6	Cursor	3	3	0.225507371
1	Robot	1	4	0.152996164
1	Robot	2	5	0.23448829
1	Robot	3	6	0.21412582
2	Robot	1	4	0.238149621
2	Robot	2	5	0.238957497
2	Robot	3	6	0.237823033
3	Robot	1	4	0.173977943
3	Robot	2	5	0.242900391
3	Robot	3	6	0.258406492
4	Robot	1	4	0.289411275
4	Robot	2	5	0.268370177
4	Robot	3	6	0.440245893
5	Robot	1	4	0.17326087
5	Robot	2	5	0.145194229
5	Robot	3	6	0.156290661
6	Robot	1	4	0.167049646
6	Robot	2	5	0.166796742
6	Robot	3	6	0.151384946
