subjid	cond	time	pair	LR	UD
1	Cursor	1	1	0.183184926	0.103178726
1	Cursor	2	2	0.07197685	0.06190285
1	Cursor	3	3	0.044890932	0.033764886
1	Cursor	4	4	0.030677387	0.075617869
1	Cursor	5	5	0.043070902	0.090450282
2	Cursor	1	1	0.098640923	0.125845216
2	Cursor	2	2	0.02892985	0.122184536
2	Cursor	3	3	0.033594635	0.075514065
2	Cursor	4	4	0.035455916	0.221679222
2	Cursor	5	5	0.092500776	0.048492126
3	Cursor	1	1	0.054047273	0.076017976
3	Cursor	2	2	0.125813839	0.16095854
3	Cursor	3	3	0.112417304	0.081064871
3	Cursor	4	4	0.150167605	0.194945252
3	Cursor	5	5	0.106858567	0.079534654
4	Cursor	1	1	0.151047695	0.120672737
4	Cursor	2	2	0.080535164	0.119796644
4	Cursor	3	3	0.104905506	0.06522921
4	Cursor	4	4	0.180851866	0.167220165
4	Cursor	5	5	0.22918314	0.072542547
5	Cursor	1	1	0.134881578	0.128375973
5	Cursor	2	2	0.033413999	0.051267936
5	Cursor	3	3	0.030408004	0.09260874
5	Cursor	4	4	0.020357962	0.0244007
5	Cursor	5	5	0.069212157	0.169522828
6	Cursor	1	1	0.214832068	0.051848156
6	Cursor	2	2	0.099824729	0.068694939
6	Cursor	3	3	0.042217869	0.087638647
6	Cursor	4	4	0.058567068	0.033066103
6	Cursor	5	5	0.038875633	0.136199418
1	Robot	1	6	0.04096268	0.177308677
1	Robot	2	7	0.049659493	0.089095902
1	Robot	3	8	0.04143103	0.052280887
1	Robot	4	9	0.064683299	0.03735149
1	Robot	5	10	0.018250706	0.03418574
2	Robot	1	6	0.096732677	0.118052302
2	Robot	2	7	0.052048285	0.144290656
2	Robot	3	8	0.053948815	0.094259217
2	Robot	4	9	0.039936355	0.10590447
2	Robot	5	10	0.09509843	0.193734211
3	Robot	1	6	0.054747624	0.061308013
3	Robot	2	7	0.178805373	0.134086614
3	Robot	3	8	0.141874266	0.067093969
3	Robot	4	9	0.123665668	0.305130667
3	Robot	5	10	0.082077585	0.095131178
4	Robot	1	6	0.077103649	0.102647752
4	Robot	2	7	0.091657841	0.144397346
4	Robot	3	8	0.127239608	0.04666774
4	Robot	4	9	0.128437134	0.209662538
4	Robot	5	10	0.121283794	0.043462594
5	Robot	1	6	0.066442882	0.110707736
5	Robot	2	7	0.091236784	0.054363473
5	Robot	3	8	0.044281941	0.044845371
5	Robot	4	9	0.101479084	0.031349249
5	Robot	5	10	0.031216234	0.036770556
6	Robot	1	6	0.323828373	0.132161944
6	Robot	2	7	0.123988963	0.14165564
6	Robot	3	8	0.087478117	0.063547841
6	Robot	4	9	0.017360963	0.073080179
6	Robot	5	10	0.148709423	0.168450431
