subjid	cond	time	pair	pair2	LR	UD
1	Cursor	1	1	1	0.183125258	0.103070776
1	Cursor	2	2	1	0.071881989	0.061758981
1	Cursor	3	3	1	0.044779789	0.03361365
1	Cursor	4	4	1	0.030514746	0.075487168
1	Cursor	5	5	1	0.042948207	0.090336264
2	Cursor	1	1	1	0.098524972	0.125749078
2	Cursor	2	2	1	0.028772812	0.122084717
2	Cursor	3	3	1	0.033441688	0.075403428
2	Cursor	4	4	1	0.035316332	0.221595166
2	Cursor	5	5	1	0.092355649	0.048357457
3	Cursor	1	1	1	0.053925088	0.075930257
3	Cursor	2	2	1	0.125751329	0.160891859
3	Cursor	3	3	1	0.112345944	0.080982596
3	Cursor	4	4	1	0.150086634	0.194869179
3	Cursor	5	5	1	0.106730422	0.079459314
4	Cursor	1	1	1	0.15097407	0.120599314
4	Cursor	2	2	1	0.080436998	0.119726884
4	Cursor	3	3	1	0.104848325	0.065103069
4	Cursor	4	4	1	0.180785067	0.1671432
4	Cursor	5	5	1	0.22911639	0.072399247
5	Cursor	1	1	1	0.1347904	0.128288993
5	Cursor	2	2	1	0.033255851	0.051127033
5	Cursor	3	3	1	0.030218388	0.09250079
5	Cursor	4	4	1	0.020170567	0.02425869
5	Cursor	5	5	1	0.069108745	0.169434047
6	Cursor	1	1	1	0.214780968	0.051720847
6	Cursor	2	2	1	0.099731752	0.068589439
6	Cursor	3	3	1	0.042089159	0.087541131
6	Cursor	4	4	1	0.058461497	0.032927618
6	Cursor	5	5	1	0.038708869	0.136102014
1	Hidden	1	6	2	0.040772936	0.177195493
1	Hidden	2	7	2	0.049530909	0.088993735
1	Hidden	3	8	2	0.041306533	0.052158376
1	Hidden	4	9	2	0.064555039	0.037212602
1	Hidden	5	10	2	0.018118851	0.03406868
2	Hidden	1	6	2	0.096643737	0.117978235
2	Hidden	2	7	2	0.051908857	0.144235635
2	Hidden	3	8	2	0.053839373	0.094173967
2	Hidden	4	9	2	0.039804801	0.105828511
2	Hidden	5	10	2	0.095032534	0.193687189
3	Hidden	1	6	2	0.054620816	0.061201487
3	Hidden	2	7	2	0.178755679	0.134006596
3	Hidden	3	8	2	0.141776777	0.066998294
3	Hidden	4	9	2	0.123589568	0.305089543
3	Hidden	5	10	2	0.082002479	0.095024942
4	Hidden	1	6	2	0.076992312	0.102585351
4	Hidden	2	7	2	0.091574283	0.144330967
4	Hidden	3	8	2	0.127144952	0.046548325
4	Hidden	4	9	2	0.128391637	0.209582961
4	Hidden	5	10	2	0.121179195	0.043337067
5	Hidden	1	6	2	0.06633208	0.110594876
5	Hidden	2	7	2	0.091122556	0.054240434
5	Hidden	3	8	2	0.044152265	0.044720729
5	Hidden	4	9	2	0.101375558	0.031221715
5	Hidden	5	10	2	0.031029053	0.03662351
6	Hidden	1	6	2	0.323787212	0.132063998
6	Hidden	2	7	2	0.123902005	0.141582724
6	Hidden	3	8	2	0.087365651	0.063439457
6	Hidden	4	9	2	0.017202947	0.072974477
6	Hidden	5	10	2	0.148623469	0.168337577
1	Robot	1	6	3	0.037957312	0.17363838
1	Robot	2	7	3	0.044513347	0.082701741
1	Robot	3	8	3	0.036383698	0.044432646
1	Robot	4	9	3	0.057819408	0.033439744
1	Robot	5	10	3	0.01853377	0.029994689
2	Robot	1	6	3	0.089686106	0.120343099
2	Robot	2	7	3	0.05083955	0.141434346
2	Robot	3	8	3	0.147240813	0.07716591
2	Robot	4	9	3	0.032300821	0.089340743
2	Robot	5	10	3	0.077505333	0.190131341
3	Robot	2	7	3	0.180885285	0.125962897
3	Robot	3	8	3	0.125477004	0.05460144
3	Robot	4	9	3	0.119607915	0.296054722
3	Robot	5	10	3	0.073773261	0.062390112
4	Robot	1	6	3	0.076415852	0.100764894
4	Robot	2	7	3	0.094418885	0.144451305
4	Robot	3	8	3	0.130197346	0.0455327
4	Robot	4	9	3	0.132464842	0.208116285
4	Robot	5	10	3	0.119912381	0.042833496
5	Robot	1	6	3	0.052669272	0.107472091
5	Robot	2	7	3	0.084385576	0.048173319
5	Robot	3	8	3	0.033439475	0.03017455
5	Robot	4	9	3	0.097630605	0.024865466
5	Robot	5	10	3	0.026093122	0.035171496
6	Robot	1	6	3	0.310660207	0.126667163
6	Robot	2	7	3	0.126800144	0.146660772
6	Robot	3	8	3	0.094294643	0.062519259
6	Robot	4	9	3	0.015625097	0.071077681
6	Robot	5	10	3	0.14550008	0.175893691
