subjid	cond	time	pair	LR	UD
1	Cursor	1	1	0.183184926	0.103178726
1	Cursor	2	2	0.07197685	0.06190285
1	Cursor	3	3	0.044890932	0.033764886
1	Cursor	4	4	0.030677387	0.075617869
1	Cursor	5	5	0.043070902	0.090450282
2	Cursor	1	1	0.098640923	0.125845216
2	Cursor	2	2	0.02892985	0.122184536
2	Cursor	3	3	0.033594635	0.075514065
2	Cursor	4	4	0.035455916	0.221679222
2	Cursor	5	5	0.092500776	0.048492126
3	Cursor	1	1	0.054047273	0.076017976
3	Cursor	2	2	0.125813839	0.16095854
3	Cursor	3	3	0.112417304	0.081064871
3	Cursor	4	4	0.150167605	0.194945252
3	Cursor	5	5	0.106858567	0.079534654
4	Cursor	1	1	0.151047695	0.120672737
4	Cursor	2	2	0.080535164	0.119796644
4	Cursor	3	3	0.104905506	0.06522921
4	Cursor	4	4	0.180851866	0.167220165
4	Cursor	5	5	0.22918314	0.072542547
5	Cursor	1	1	0.134881578	0.128375973
5	Cursor	2	2	0.033413999	0.051267936
5	Cursor	3	3	0.030408004	0.09260874
5	Cursor	4	4	0.020357962	0.0244007
5	Cursor	5	5	0.069212157	0.169522828
6	Cursor	1	1	0.214832068	0.051848156
6	Cursor	2	2	0.099824729	0.068694939
6	Cursor	3	3	0.042217869	0.087638647
6	Cursor	4	4	0.058567068	0.033066103
6	Cursor	5	5	0.038875633	0.136199418
1	Robot	1	6	0.039759103	0.174736815
1	Robot	2	7	0.046001511	0.084016422
1	Robot	3	8	0.038005763	0.045868404
1	Robot	4	9	0.059482241	0.035154484
1	Robot	5	10	0.020512187	0.031325667
2	Robot	1	6	0.090955269	0.121189715
2	Robot	2	7	0.052655353	0.142066
2	Robot	3	8	0.147538327	0.078428931
2	Robot	4	9	0.033940746	0.090249606
2	Robot	5	10	0.078364558	0.191148068	
3	Robot	2	7	0.181684857	0.126936937
3	Robot	3	8	0.126507955	0.055957011
3	Robot	4	9	0.120698725	0.29655262
3	Robot	5	10	0.074789256	0.063746594
4	Robot	1	6	0.077731121	0.101601048
4	Robot	2	7	0.095534516	0.145196661
4	Robot	3	8	0.130950472	0.046810771
4	Robot	4	9	0.132978492	0.209133787
4	Robot	5	10	0.120859283	0.044491799
5	Robot	1	6	0.05407595	0.108579418
5	Robot	2	7	0.085804639	0.04989379
5	Robot	3	8	0.035033875	0.031886671
5	Robot	4	9	0.099179405	0.026368915
5	Robot	5	10	0.028090095	0.036626195
6	Robot	1	6	0.311043834	0.127889185
6	Robot	2	7	0.127680279	0.147336343
6	Robot	3	8	0.095135975	0.063859628
6	Robot	4	9	0.017831726	0.07216518
6	Robot	5	10	0.146281134	0.176666729
