subjid,cond,time,pair,2D
1,Cursor,1,1,0.239815138
1,Cursor,2,2,0.111306852
1,Cursor,3,3,0.107620855
2,Cursor,1,1,0.219878208
2,Cursor,2,2,0.278694731
2,Cursor,3,3,0.273775731
3,Cursor,1,1,0.214583573
3,Cursor,2,2,0.205876116
3,Cursor,3,3,0.329892169
4,Cursor,1,1,0.314369913
4,Cursor,2,2,0.230701483
4,Cursor,3,3,0.199619351
5,Cursor,1,1,0.07446478
5,Cursor,2,2,0.132913975
5,Cursor,3,3,0.087946305
6,Cursor,1,1,0.177690911
6,Cursor,2,2,0.110941729
6,Cursor,3,3,0.225474467
1,Robot,1,4,0.152484378
1,Robot,2,5,0.23397116
1,Robot,3,6,0.21384695
2,Robot,1,4,0.237769228
2,Robot,2,5,0.238633136
2,Robot,3,6,0.237558384
3,Robot,1,4,0.173509885
3,Robot,2,5,0.242674564
3,Robot,3,6,0.258169345
4,Robot,1,4,0.289063199
4,Robot,2,5,0.268115033
4,Robot,3,6,0.440002259
5,Robot,1,4,0.172768434
5,Robot,2,5,0.144687835
5,Robot,3,6,0.155697016
6,Robot,1,4,0.166571182
6,Robot,2,5,0.166480877
6,Robot,3,6,0.150716901
